entry_idx,entry_price,exit_idx,exit_price,reason
7,45.6,8,45.23,sellSignal
10,46.78,11,45.73,trailingTP
21,45.52,22,45.01,sellSignal
47,44.39,48,44.32,trailingTP
56,44.24,57,43.79,sellSignal
61,43.97,62,44.15,trailingTP
79,45.73,80,45.93,trailingTP
124,44.14,125,42.58,sellSignal
141,43.36,142,43.28,trailingTP
183,46.08,184,46.32,trailingTP
203,46.59,204,47.27,trailingTP
233,46.33,234,46.31,trailingTP
253,48.63,254,48.71,trailingTP
266,48.49,267,48.665,trailingTP
282,49.71,283,49.65,trailingTP
302,51.53,303,50.69,trailingTP
325,51.98,326,51.86,trailingTP
372,53.37,373,53.45,trailingTP
383,54.295,384,54.465,trailingTP
393,56.5,394,56.43,trailingTP
401,56.53,402,56.37,trailingTP
439,60.71,440,60.72,trailingTP
449,62.59,450,62.72,trailingTP
456,62.72,457,62.4,trailingTP
463,63.67,464,63.91,trailingTP
484,63.865,485,63.94,trailingTP
498,63.19,499,63.52,trailingTP
519,61.86,520,62.44,trailingTP
540,60.88,541,60.85,trailingTP
562,61.31,563,61.62,trailingTP
603,59.015,604,58.99,trailingTP
622,60.785,623,60.8,trailingTP
638,62.7,639,62.86,trailingTP
673,60.5,674,59.94,trailingTP
689,58.435,690,58.52,trailingTP
