entry_idx,entry_price,exit_idx,exit_price,reason
7,53.04,8,53.98,trailingTP
49,54.375,50,55.045,trailingTP
79,66.575,80,64.12,trailingTP
142,58.765,143,58.14,trailingTP
156,56.95,157,56.53,trailingTP
175,56.305,176,56.54,trailingTP
183,56.23,184,56.165,trailingTP
204,60.285,205,59.925,trailingTP
239,54.265,240,54.75,trailingTP
258,54.96,259,54.6,trailingTP
280,52.9,281,52.205,trailingTP
299,52.92,300,52.69,trailingTP
320,53.21,321,53.695,trailingTP
329,53.86,330,55.09,trailingTP
364,61.77,365,61.65,trailingTP
388,62.96,389,61.97,trailingTP
411,61.02,412,61.68,trailingTP
433,66.15,435,67.93,trailingTP
449,69.57,450,70.535,trailingTP
461,70.58,462,71.45,trailingTP
494,68.53,495,69.45,trailingTP
517,69.16,518,72.81,trailingTP
546,67.485,547,67.89,trailingTP
570,64.66,571,64.615,trailingTP
581,65.61,582,64.81,trailingTP
613,56.945,614,57.03,trailingTP
621,54.84,622,55.11,trailingTP
636,55.26,637,54.02,trailingTP
655,52.56,656,54.555,trailingTP
670,54.23,671,53.52,trailingTP
679,52.61,680,52.14,trailingTP
688,50.36,689,50.775,trailingTP
699,51.21,700,50.33,trailingTP
