entry_idx,entry_price,exit_idx,exit_price,reason
35,134.67,36,133.8,trailingTP
71,127.18,72,132.66,trailingTP
83,130.39,84,129.64,trailingTP
127,117.45,128,116.76,trailingTP
148,111.11,149,108.31,trailingTP
162,115.61,163,118.87,trailingTP
186,141.88,187,144.57,trailingTP
234,91.55,235,92.96,trailingTP
244,95.1,245,96.58,trailingTP
264,93.28,265,93.315,trailingTP
287,102.215,288,103.05,trailingTP
318,89.27,319,89.115,trailingTP
336,111.7,338,118.55,trailingTP
357,110.63,358,111.965,trailingTP
380,120.87,381,118.36,trailingTP
398,134.11,399,131.0,trailingTP
415,132.37,416,133.41,trailingTP
440,132.91,441,138.42,trailingTP
456,141.19,457,137.5,sellSignal
472,139.42,473,137.27,trailingTP
487,135.9,488,133.13,trailingTP
508,143.68,509,140.32,trailingTP
523,139.49,524,139.48,trailingTP
544,136.75,545,136.16,trailingTP
566,119.21,567,121.545,trailingTP
604,139.915,605,140.0,trailingTP
611,135.61,612,134.26,trailingTP
616,137.0,617,134.87,trailingTP
655,104.6,656,104.0,trailingTP
708,75.8,709,72.47,sellSignal
712,77.09,713,76.33,trailingTP
725,80.3,726,82.16,trailingTP
735,70.99,736,68.55,trailingTP
744,73.23,745,73.08,trailingTP
761,73.46,762,74.33,trailingTP
