entry_idx,entry_price,exit_idx,exit_price,reason
2,13.205,3,13.17,trailingTP
20,13.58,21,13.83,trailingTP
39,13.07,40,13.245,trailingTP
69,12.83,70,12.76,trailingTP
87,13.5,88,13.29,trailingTP
122,12.01,123,11.8,sellSignal
137,11.4,138,11.31,trailingTP
160,12.11,161,12.06,trailingTP
174,11.9,175,11.54,sellSignal
189,11.53,190,11.6,trailingTP
198,11.44,199,11.55,trailingTP
226,12.74,227,12.65,trailingTP
241,10.83,242,10.935,trailingTP
276,9.9,277,9.96,trailingTP
301,10.78,302,10.785,trailingTP
320,11.13,321,11.04,trailingTP
332,11.1,333,11.07,trailingTP
343,11.32,344,11.8,trailingTP
378,12.11,379,12.46,trailingTP
392,13.1,393,13.07,trailingTP
400,13.45,401,13.44,trailingTP
425,12.91,426,13.02,trailingTP
469,14.81,470,14.705,trailingTP
483,14.37,484,14.42,trailingTP
491,15.375,492,15.53,trailingTP
518,15.09,519,15.03,trailingTP
527,15.4,528,15.19,trailingTP
540,14.34,541,14.46,trailingTP
546,14.76,547,14.7,trailingTP
567,18.1,568,18.49,trailingTP
578,17.93,579,17.87,trailingTP
602,25.36,603,25.99,trailingTP
621,28.055,622,28.465,trailingTP
637,30.345,638,29.17,trailingTP
651,30.17,652,31.23,trailingTP
690,22.71,691,22.885,trailingTP
