entry_idx,entry_price,exit_idx,exit_price,reason
1,79.5,2,80.365,trailingTP
7,79.35,8,78.98,trailingTP
16,78.62,17,78.67,trailingTP
23,76.17,24,77.22,trailingTP
26,75.6,27,74.3,sellSignal
38,72.55,39,74.5,trailingTP
63,77.65,64,76.26,sellSignal
78,71.21,79,72.32,trailingTP
96,68.88,97,68.33,trailingTP
131,83.76,132,82.7,trailingTP
139,80.27,140,79.59,sellSignal
144,81.25,145,80.34,trailingTP
148,79.25,149,80.395,trailingTP
153,79.77,154,79.73,trailingTP
162,81.5,163,80.26,sellSignal
168,82.355,169,84.31,trailingTP
180,80.82,181,80.75,trailingTP
185,80.785,186,79.37,sellSignal
187,80.49,188,80.56,trailingTP
194,77.185,195,76.01,sellSignal
197,77.77,198,77.92,trailingTP
212,91.76,213,94.4,trailingTP
218,92.535,219,93.02,trailingTP
236,88.8,237,89.11,trailingTP
242,90.105,243,88.81,sellSignal
245,88.1,246,88.76,trailingTP
262,96.085,263,94.43,sellSignal
264,95.49,265,94.54,sellSignal
272,92.0,273,91.06,sellSignal
275,91.93,276,90.4,sellSignal
278,90.91,279,91.36,trailingTP
285,94.91,286,94.24,trailingTP
292,94.23,293,95.02,trailingTP
296,99.23,297,101.68,trailingTP
309,106.58,310,106.94,trailingTP
316,107.98,317,107.76,trailingTP
323,111.58,327,117.76,sellSignal
