entry_idx,entry_price,exit_idx,exit_price,reason
4,30.0,5,30.24,trailingTP
44,31.11,45,30.9,trailingTP
63,29.685,64,29.325,trailingTP
100,27.53,101,27.81,trailingTP
117,29.165,118,29.185,trailingTP
122,28.49,123,28.57,trailingTP
129,27.16,130,26.795,trailingTP
147,25.3,148,24.96,trailingTP
182,26.4,183,26.37,trailingTP
214,26.89,215,26.79,trailingTP
222,26.98,223,27.18,trailingTP
238,28.23,239,28.51,trailingTP
245,27.995,246,28.03,trailingTP
296,31.34,297,30.95,trailingTP
309,30.68,310,30.895,trailingTP
327,32.34,328,31.22,sellSignal
342,31.03,343,31.01,trailingTP
348,31.785,349,32.13,trailingTP
364,33.76,365,33.82,trailingTP
398,35.91,399,35.97,trailingTP
417,36.855,418,36.685,trailingTP
462,36.83,463,36.505,trailingTP
480,34.47,481,34.945,trailingTP
488,35.58,489,35.77,trailingTP
508,34.06,509,34.27,trailingTP
525,34.81,526,35.075,trailingTP
534,35.405,535,36.305,trailingTP
565,39.48,566,39.445,trailingTP
585,35.745,586,36.26,trailingTP
594,36.36,595,36.65,trailingTP
606,37.5,607,37.035,trailingTP
619,36.46,620,36.41,trailingTP
636,37.225,637,37.3,trailingTP
647,36.98,648,37.16,trailingTP
656,37.06,657,36.85,trailingTP
664,36.47,665,36.52,trailingTP
671,36.13,672,36.17,trailingTP
684,34.61,685,34.75,trailingTP
695,34.45,696,34.11,trailingTP
700,34.095,701,34.325,trailingTP
