entry_idx,entry_price,exit_idx,exit_price,reason
36,139.84,37,140.48,trailingTP
44,140.855,45,141.135,trailingTP
56,140.24,57,142.37,trailingTP
91,145.735,92,145.92,trailingTP
117,150.93,118,150.3,trailingTP
140,137.8,141,137.23,trailingTP
156,134.79,157,134.745,trailingTP
167,136.35,168,136.35,trailingTP
204,127.0,205,126.635,trailingTP
231,128.53,232,126.85,trailingTP
260,129.85,261,128.4,trailingTP
287,134.7,288,131.76,sellSignal
302,135.23,303,133.51,trailingTP
344,139.28,345,136.98,trailingTP
366,136.82,367,135.775,trailingTP
382,138.525,383,138.99,trailingTP
407,137.77,408,138.825,trailingTP
427,142.41,428,147.39,trailingTP
442,154.275,443,154.325,trailingTP
463,159.08,464,162.5,trailingTP
486,162.05,487,162.21,trailingTP
505,161.98,506,161.615,trailingTP
519,157.24,520,157.92,trailingTP
540,155.38,541,155.4,trailingTP
546,156.68,547,158.85,trailingTP
554,158.725,555,157.57,trailingTP
576,158.05,577,158.355,trailingTP
610,188.07,611,188.64,trailingTP
622,190.39,623,191.21,trailingTP
696,159.81,697,158.88,trailingTP
