entry_idx,entry_price,exit_idx,exit_price,reason
16,125.54,17,125.46,trailingTP
42,127.2,43,126.665,trailingTP
56,124.25,57,122.685,trailingTP
84,126.76,85,127.45,trailingTP
120,134.67,121,134.74,trailingTP
126,134.68,127,134.42,trailingTP
140,129.715,141,129.95,trailingTP
151,131.465,152,129.6,trailingTP
161,132.93,162,131.01,trailingTP
195,139.24,196,138.85,trailingTP
211,139.03,212,138.83,trailingTP
239,131.19,240,130.775,trailingTP
261,131.84,262,131.475,trailingTP
287,120.965,288,121.2,trailingTP
318,121.34,319,120.77,trailingTP
337,127.48,338,126.975,trailingTP
345,126.92,346,126.665,trailingTP
365,132.39,366,131.79,trailingTP
414,134.15,415,133.625,trailingTP
449,145.82,450,146.125,trailingTP
462,150.84,470,159.32,sellSignal
498,153.585,499,155.11,trailingTP
529,150.37,530,150.59,trailingTP
538,148.855,539,150.13,trailingTP
588,162.155,589,164.4,trailingTP
638,141.38,639,141.84,trailingTP
654,136.695,655,136.52,trailingTP
669,125.0,670,125.37,trailingTP
680,124.81,681,124.3,trailingTP
689,120.46,690,121.52,trailingTP
708,128.33,709,128.71,trailingTP
