entry_idx,entry_price,exit_idx,exit_price,reason
7,44.76,8,44.88,trailingTP
21,45.21,22,45.66,trailingTP
60,43.45,61,43.39,trailingTP
71,44.47,72,44.575,trailingTP
105,43.845,106,44.05,trailingTP
117,44.91,118,45.06,trailingTP
129,43.93,130,43.67,trailingTP
140,43.145,141,43.67,trailingTP
154,44.27,155,43.835,trailingTP
161,43.57,162,43.27,trailingTP
182,43.99,183,44.41,trailingTP
202,44.54,203,44.75,trailingTP
214,44.81,215,44.82,trailingTP
238,46.66,239,47.41,trailingTP
259,49.61,260,49.75,trailingTP
280,51.42,281,51.3,trailingTP
301,51.85,302,50.86,trailingTP
313,51.14,314,51.075,trailingTP
326,51.44,327,51.325,trailingTP
344,51.87,345,51.72,trailingTP
364,52.74,365,52.62,trailingTP
385,53.825,386,53.36,trailingTP
392,53.45,393,53.7,trailingTP
400,53.75,401,53.84,trailingTP
419,52.46,420,52.38,trailingTP
441,53.015,442,52.15,sellSignal
449,52.78,450,52.57,trailingTP
458,51.705,459,51.67,trailingTP
483,51.63,484,51.79,trailingTP
497,53.44,498,52.6,sellSignal
505,52.42,506,52.17,trailingTP
513,51.72,514,51.63,trailingTP
532,52.01,533,51.66,trailingTP
568,53.91,569,53.9,trailingTP
588,52.595,589,53.02,trailingTP
599,53.42,600,53.54,trailingTP
609,55.175,610,54.29,trailingTP
622,54.74,623,54.1,trailingTP
651,55.18,652,55.74,trailingTP
668,55.56,669,55.68,trailingTP
694,52.805,695,52.59,trailingTP
714,53.03,715,52.955,trailingTP
