entry_idx,entry_price,exit_idx,exit_price,reason
12,7.34,13,7.3,trailingTP
25,7.165,26,7.145,trailingTP
32,7.1,33,7.09,trailingTP
41,6.995,42,7.0,trailingTP
51,7.05,52,7.095,trailingTP
56,7.06,57,7.045,trailingTP
71,7.045,72,7.04,trailingTP
83,6.99,84,7.01,trailingTP
91,6.99,92,6.99,trailingTP
112,6.81,113,6.83,trailingTP
123,6.85,124,6.85,trailingTP
127,6.81,128,6.775,trailingTP
139,6.905,140,6.9,trailingTP
153,7.04,154,7.01,trailingTP
223,7.665,224,7.65,trailingTP
260,7.89,261,7.935,trailingTP
280,8.255,281,8.24,trailingTP
287,8.25,288,8.205,trailingTP
294,8.215,295,8.24,trailingTP
315,8.45,316,8.415,trailingTP
353,9.025,354,9.02,trailingTP
369,9.455,370,9.47,trailingTP
384,9.57,385,9.58,trailingTP
405,9.485,406,9.45,trailingTP
423,9.92,424,9.92,trailingTP
443,9.8,444,9.83,trailingTP
460,9.74,461,9.81,trailingTP
481,9.61,482,9.64,trailingTP
495,9.75,496,9.8,trailingTP
503,9.825,504,9.845,trailingTP
551,10.22,552,10.24,trailingTP
573,10.33,574,10.33,trailingTP
600,10.64,601,10.69,trailingTP
617,10.84,618,10.985,trailingTP
