entry_idx,entry_price,exit_idx,exit_price,reason
35,4.63,36,4.61,trailingTP
59,5.15,60,5.165,trailingTP
88,6.04,89,6.245,trailingTP
124,6.13,125,6.22,trailingTP
146,6.005,147,6.12,trailingTP
200,6.065,201,6.115,trailingTP
214,6.22,215,6.03,trailingTP
218,6.285,219,6.305,trailingTP
245,6.075,246,6.29,trailingTP
259,6.735,260,6.85,trailingTP
273,7.13,274,7.23,trailingTP
281,7.14,282,6.915,sellSignal
289,7.39,290,7.21,trailingTP
308,7.4,309,7.36,trailingTP
330,7.02,331,6.975,trailingTP
340,7.15,341,7.12,trailingTP
367,8.28,368,8.48,trailingTP
403,10.53,404,11.015,trailingTP
417,10.58,418,10.27,sellSignal
425,10.76,426,10.94,trailingTP
438,11.37,439,11.5,trailingTP
454,13.19,455,13.17,trailingTP
460,14.91,461,14.415,trailingTP
474,14.37,475,14.495,trailingTP
496,15.92,497,16.85,trailingTP
531,15.54,532,15.095,trailingTP
538,18.17,539,16.03,sellSignal
553,15.5,554,15.775,trailingTP
560,15.79,561,15.29,trailingTP
589,13.69,590,14.27,trailingTP
619,14.69,620,14.885,trailingTP
628,15.88,629,15.7,trailingTP
637,16.46,638,18.02,trailingTP
644,19.725,645,19.095,trailingTP
662,17.41,663,17.265,trailingTP
690,13.63,691,13.605,trailingTP
701,14.15,702,13.65,trailingTP
716,13.405,717,13.085,trailingTP
734,13.74,735,13.725,trailingTP
