entry_idx,entry_price,exit_idx,exit_price,reason
8,184.53,9,184.015,trailingTP
54,165.83,55,166.8,trailingTP
70,165.54,71,165.015,trailingTP
77,167.35,78,166.87,trailingTP
101,169.575,102,170.415,trailingTP
118,168.585,119,169.315,trailingTP
141,152.865,142,152.75,trailingTP
149,150.18,150,150.885,trailingTP
160,151.37,162,159.535,trailingTP
175,161.44,176,158.68,sellSignal
189,155.68,190,158.185,trailingTP
210,163.48,211,165.455,trailingTP
233,166.28,234,166.26,trailingTP
252,173.73,253,171.64,sellSignal
259,172.63,260,172.265,trailingTP
283,173.565,284,174.3,trailingTP
290,172.24,291,171.98,trailingTP
297,170.18,298,170.35,trailingTP
301,171.885,302,168.48,trailingTP
314,164.38,315,164.05,trailingTP
320,164.53,321,165.19,trailingTP
332,155.7,333,157.92,trailingTP
343,156.655,344,155.11,sellSignal
357,155.535,358,156.39,trailingTP
370,155.93,371,155.79,trailingTP
378,156.72,379,158.055,trailingTP
385,158.405,386,157.065,trailingTP
392,155.525,393,154.55,trailingTP
408,152.58,409,152.72,trailingTP
414,153.56,415,152.61,trailingTP
430,151.32,431,152.22,trailingTP
450,153.8,451,152.665,sellSignal
461,151.655,462,150.84,trailingTP
481,144.44,482,145.36,trailingTP
499,145.22,500,142.15,sellSignal
506,142.88,507,144.075,trailingTP
512,145.755,513,147.865,trailingTP
535,154.82,536,154.555,trailingTP
556,162.4,557,162.27,trailingTP
561,162.86,562,161.98,trailingTP
581,163.575,582,159.46,sellSignal
588,161.68,589,160.535,trailingTP
595,158.545,596,157.355,trailingTP
607,165.86,608,168.565,trailingTP
640,181.81,641,180.2,trailingTP
654,182.17,655,180.87,trailingTP
661,175.97,662,176.53,trailingTP
680,181.44,681,180.51,trailingTP
689,185.96,690,186.8,trailingTP
701,185.84,702,185.36,trailingTP
709,187.61,710,187.48,trailingTP
