entry_idx,entry_price,exit_idx,exit_price,reason
3,23.13,4,23.09,trailingTP
22,21.21,23,21.64,trailingTP
28,21.565,29,21.97,trailingTP
42,23.605,43,23.62,trailingTP
57,26.15,58,25.545,sellSignal
62,26.93,63,26.89,trailingTP
67,27.12,68,27.56,trailingTP
76,29.065,77,28.39,sellSignal
82,28.78,83,27.53,sellSignal
87,27.59,88,26.94,trailingTP
108,30.875,109,30.535,trailingTP
119,30.82,120,31.22,trailingTP
128,30.02,129,30.825,trailingTP
138,30.545,139,30.555,trailingTP
155,32.9,156,32.87,trailingTP
168,32.89,169,33.505,trailingTP
177,33.79,178,33.76,trailingTP
188,32.18,189,32.09,trailingTP
193,32.58,194,32.26,trailingTP
206,32.24,207,32.64,trailingTP
217,32.855,218,32.905,trailingTP
233,33.98,234,33.76,trailingTP
246,33.72,247,34.085,trailingTP
