entry_idx,entry_price,exit_idx,exit_price,reason
10,16.46,11,15.66,trailingTP
22,14.59,23,14.73,trailingTP
60,14.37,61,14.44,trailingTP
70,14.64,71,14.585,trailingTP
79,14.635,80,14.61,trailingTP
111,14.025,112,13.84,trailingTP
126,13.19,127,13.48,trailingTP
140,13.935,141,13.92,trailingTP
147,13.87,148,13.59,trailingTP
165,13.72,166,13.75,trailingTP
183,13.83,184,13.84,trailingTP
189,14.06,190,14.2,trailingTP
194,13.98,195,14.0,trailingTP
200,13.835,201,13.83,trailingTP
227,13.56,228,13.58,trailingTP
239,14.385,240,14.34,trailingTP
254,14.51,255,14.51,trailingTP
275,14.27,276,14.26,trailingTP
280,14.24,281,14.445,trailingTP
299,14.68,301,15.09,trailingTP
308,15.13,309,15.28,trailingTP
343,17.195,344,17.035,trailingTP
352,17.035,353,17.1,trailingTP
370,16.89,371,16.71,sellSignal
374,16.99,375,17.19,trailingTP
379,17.28,380,17.34,trailingTP
391,18.91,392,18.67,trailingTP
409,18.465,410,18.54,trailingTP
439,20.915,440,21.075,trailingTP
454,21.97,455,22.055,trailingTP
482,22.43,483,22.62,trailingTP
491,23.12,492,23.29,trailingTP
520,22.67,521,22.845,trailingTP
538,20.51,539,20.95,trailingTP
557,20.56,558,20.52,trailingTP
567,21.57,568,21.83,trailingTP
576,21.35,577,21.36,trailingTP
602,20.75,603,20.76,trailingTP
623,22.2,624,22.34,trailingTP
637,22.275,638,22.61,trailingTP
670,21.41,671,21.41,trailingTP
689,21.45,690,21.48,trailingTP
708,24.13,709,24.02,trailingTP
