entry_idx,entry_price,exit_idx,exit_price,reason
15,95.7,16,96.93,trailingTP
22,96.28,23,96.3,trailingTP
29,97.225,30,97.83,trailingTP
49,99.13,50,99.36,trailingTP
70,94.725,71,93.77,sellSignal
82,94.66,83,90.52,sellSignal
87,88.87,88,86.7,trailingTP
95,88.58,96,89.34,trailingTP
124,96.76,125,96.76,trailingTP
133,96.92,134,96.15,sellSignal
137,96.93,138,98.2,trailingTP
140,98.21,141,98.25,trailingTP
149,100.97,150,100.97,trailingTP
154,100.08,155,100.34,trailingTP
166,100.15,167,100.1,trailingTP
172,100.46,175,101.38,sellSignal
181,102.31,182,102.22,trailingTP
188,102.45,189,102.54,trailingTP
193,103.72,194,102.9,sellSignal
198,102.92,199,102.89,trailingTP
205,102.9,206,103.01,trailingTP
216,102.72,217,102.54,trailingTP
225,104.37,226,103.89,trailingTP
232,102.03,233,101.16,trailingTP
246,102.28,247,102.89,trailingTP
