entry_idx,entry_price,exit_idx,exit_price,reason
2,51.37,3,52.1,trailingTP
23,48.01,24,48.54,trailingTP
29,48.59,30,47.385,sellSignal
33,49.23,34,49.62,trailingTP
48,51.91,49,52.39,trailingTP
69,52.34,70,53.21,trailingTP
83,54.08,84,49.96,sellSignal
87,51.86,88,50.34,trailingTP
105,58.375,106,59.1,trailingTP
138,59.2,139,59.68,trailingTP
158,60.465,159,60.82,trailingTP
169,61.72,170,61.63,trailingTP
180,62.805,181,61.72,trailingTP
218,67.05,219,66.135,trailingTP
226,67.16,227,67.42,trailingTP
234,67.81,235,67.89,trailingTP
246,67.755,247,67.865,trailingTP
