entry_idx,entry_price,exit_idx,exit_price,reason
9,53.26,10,52.925,trailingTP
36,52.82,37,53.96,trailingTP
54,53.26,55,53.68,trailingTP
78,49.57,79,49.57,trailingTP
92,48.98,93,49.49,trailingTP
106,48.84,107,48.9,trailingTP
117,47.505,118,47.54,trailingTP
126,48.415,127,48.865,trailingTP
138,47.61,139,47.75,trailingTP
147,47.29,148,47.38,trailingTP
160,47.0,161,42.99,sellSignal
167,43.1,168,42.875,trailingTP
189,42.435,190,43.535,trailingTP
202,45.015,203,45.27,trailingTP
212,45.78,213,45.54,trailingTP
254,46.45,255,46.62,trailingTP
262,46.8,263,47.41,trailingTP
276,47.245,277,47.38,trailingTP
287,48.89,288,48.915,trailingTP
292,48.94,293,49.28,trailingTP
301,53.74,302,53.22,trailingTP
316,54.515,317,54.81,trailingTP
367,53.3,368,53.25,trailingTP
381,53.43,382,53.77,trailingTP
398,53.14,399,54.23,trailingTP
424,53.95,425,54.55,trailingTP
440,56.2,441,56.335,trailingTP
460,57.89,461,57.68,trailingTP
487,58.76,488,59.33,trailingTP
504,62.0,505,61.7,trailingTP
518,62.195,519,62.66,trailingTP
543,64.69,544,64.61,trailingTP
569,63.41,570,63.73,trailingTP
575,63.79,576,64.1,trailingTP
582,64.03,583,64.33,trailingTP
623,67.0,624,66.485,trailingTP
660,68.73,661,68.035,trailingTP
667,68.02,668,68.06,trailingTP
