entry_idx,entry_price,exit_idx,exit_price,reason
7,35.19,8,35.35,trailingTP
27,35.37,28,35.305,trailingTP
69,32.73,70,32.51,trailingTP
81,32.325,82,32.495,trailingTP
113,37.34,114,37.24,trailingTP
146,35.7,147,35.785,trailingTP
154,36.475,155,36.16,trailingTP
179,35.2,180,35.08,trailingTP
197,35.66,198,35.43,trailingTP
213,35.21,214,35.32,trailingTP
231,34.92,232,35.09,trailingTP
259,36.71,260,36.32,trailingTP
268,36.74,269,36.63,trailingTP
284,37.22,285,37.475,trailingTP
294,39.06,295,39.41,trailingTP
315,39.705,316,39.845,trailingTP
364,39.5,365,39.075,trailingTP
382,38.79,383,38.735,trailingTP
392,40.34,393,39.95,trailingTP
406,40.79,407,40.435,trailingTP
429,39.56,430,39.77,trailingTP
455,38.57,456,38.09,trailingTP
461,38.2,462,37.65,sellSignal
468,37.92,469,37.805,trailingTP
494,36.145,495,35.995,trailingTP
506,36.51,507,36.21,trailingTP
513,36.17,514,35.94,trailingTP
553,40.16,554,40.595,trailingTP
591,42.015,592,42.19,trailingTP
603,42.06,604,42.32,trailingTP
623,42.87,624,42.795,trailingTP
646,43.36,647,43.26,trailingTP
653,43.83,654,44.13,trailingTP
668,43.28,669,43.81,trailingTP
690,44.07,691,44.025,trailingTP
