entry_idx,entry_price,exit_idx,exit_price,reason
7,131.125,8,129.25,trailingTP
55,143.58,56,147.69,trailingTP
84,172.61,85,171.875,trailingTP
129,151.375,130,151.64,trailingTP
140,147.07,141,148.48,trailingTP
160,155.04,161,158.44,trailingTP
169,158.49,170,159.57,trailingTP
182,163.14,183,164.83,trailingTP
226,172.09,227,174.37,trailingTP
266,188.84,267,186.87,trailingTP
286,186.96,287,189.99,trailingTP
300,189.27,301,194.98,trailingTP
315,191.43,316,192.81,trailingTP
329,186.91,330,184.735,trailingTP
357,177.07,358,176.29,trailingTP
371,175.75,372,177.52,trailingTP
385,168.9,386,168.74,trailingTP
401,182.13,402,179.09,trailingTP
413,175.17,414,173.33,trailingTP
442,170.02,443,168.62,trailingTP
464,177.51,465,177.67,trailingTP
483,163.705,484,161.57,trailingTP
498,161.47,499,160.45,trailingTP
511,162.06,512,160.19,trailingTP
539,166.88,540,168.165,trailingTP
553,185.45,554,184.06,trailingTP
581,194.61,582,197.745,trailingTP
602,184.895,603,186.62,trailingTP
621,184.72,622,185.22,trailingTP
634,187.48,635,187.16,trailingTP
660,169.365,661,168.43,trailingTP
665,171.35,666,167.445,trailingTP
688,162.18,689,161.58,trailingTP
708,172.355,709,170.945,trailingTP
