entry_idx,entry_price,exit_idx,exit_price,reason
1,52.06,2,52.335,trailingTP
19,51.38,20,51.355,trailingTP
52,51.6,53,51.615,trailingTP
70,51.72,71,51.355,sellSignal
78,52.67,79,53.25,trailingTP
111,53.66,112,53.63,trailingTP
128,52.975,129,52.76,trailingTP
149,52.76,150,52.17,sellSignal
157,52.97,194,58.0,sellSignal
209,58.095,210,58.08,trailingTP
227,58.13,228,58.29,trailingTP
249,57.49,250,57.745,trailingTP
266,60.29,267,60.195,trailingTP
293,61.425,294,61.53,trailingTP
299,61.51,300,61.35,trailingTP
334,66.07,335,66.055,trailingTP
359,68.0,360,68.2,trailingTP
384,69.955,385,70.56,trailingTP
410,68.44,411,68.435,trailingTP
452,73.065,453,73.105,trailingTP
471,76.37,472,76.61,trailingTP
491,76.125,492,76.505,trailingTP
519,78.56,520,78.11,trailingTP
536,75.91,537,75.7,trailingTP
545,77.87,546,78.16,trailingTP
557,78.97,558,79.01,trailingTP
588,79.58,589,80.49,trailingTP
608,72.6,609,71.005,trailingTP
628,73.83,629,73.63,trailingTP
643,70.36,644,70.31,trailingTP
662,72.33,663,72.305,trailingTP
695,69.42,696,69.87,trailingTP
717,72.145,718,72.55,trailingTP
735,76.7,736,77.67,trailingTP
752,76.005,753,76.0,trailingTP
771,75.87,772,76.05,trailingTP
784,77.5,785,76.51,trailingTP
795,74.61,796,74.0,trailingTP
817,79.02,818,79.46,trailingTP
