entry_idx,entry_price,exit_idx,exit_price,reason
14,536.59,15,536.41,trailingTP
26,541.49,27,539.4,trailingTP
65,576.47,66,572.8,trailingTP
84,620.83,85,628.97,trailingTP
119,646.1,120,653.06,trailingTP
134,655.95,135,660.77,trailingTP
156,662.14,157,659.39,trailingTP
176,649.61,177,650.4,trailingTP
195,634.83,196,630.96,trailingTP
216,624.975,217,614.505,sellSignal
228,602.16,229,600.35,trailingTP
253,620.39,254,617.88,trailingTP
293,577.31,294,583.32,trailingTP
305,581.39,306,583.89,trailingTP
336,640.455,337,637.45,trailingTP
363,614.79,364,625.17,trailingTP
375,614.01,376,619.31,trailingTP
392,636.7,393,631.13,trailingTP
413,611.23,414,602.87,sellSignal
421,608.53,422,609.6,trailingTP
431,607.11,432,607.51,trailingTP
451,603.02,452,602.42,trailingTP
483,627.99,484,633.51,trailingTP
492,650.535,493,651.31,trailingTP
537,573.11,538,575.905,trailingTP
572,580.08,573,577.905,trailingTP
581,588.93,582,585.35,trailingTP
590,587.49,591,585.8,trailingTP
603,563.49,604,562.35,trailingTP
619,563.15,620,569.4,trailingTP
637,586.76,638,578.91,trailingTP
650,558.32,651,537.13,trailingTP
673,582.325,674,580.795,trailingTP
694,569.12,695,571.03,trailingTP
708,583.47,709,589.07,trailingTP
