entry_idx,entry_price,exit_idx,exit_price,reason
7,249.2,8,245.065,sellSignal
14,249.02,15,248.41,trailingTP
26,251.6,27,252.43,trailingTP
63,267.715,64,266.72,trailingTP
73,265.37,74,264.72,trailingTP
86,262.275,87,262.05,trailingTP
111,270.61,112,272.29,trailingTP
121,271.87,122,271.125,trailingTP
135,269.615,136,268.935,trailingTP
151,271.72,152,271.78,trailingTP
167,272.045,168,275.28,trailingTP
196,270.405,197,272.55,trailingTP
226,267.5,227,267.62,trailingTP
239,270.93,240,269.635,trailingTP
245,271.76,246,268.47,trailingTP
276,275.32,277,275.87,trailingTP
285,274.39,286,275.37,trailingTP
307,279.455,308,279.675,trailingTP
322,278.27,323,279.57,trailingTP
364,294.16,365,295.01,trailingTP
381,300.11,382,298.92,trailingTP
406,300.14,407,293.88,sellSignal
413,296.245,414,295.07,trailingTP
420,295.42,421,297.785,trailingTP
442,301.03,443,301.87,trailingTP
455,302.3,456,301.38,trailingTP
475,299.33,476,298.63,trailingTP
483,297.405,484,293.7,trailingTP
504,301.51,505,302.49,trailingTP
518,304.05,519,303.2,trailingTP
539,303.54,540,304.775,trailingTP
553,308.83,554,309.45,trailingTP
569,314.7,570,314.1,trailingTP
602,307.61,603,306.91,trailingTP
619,303.77,620,305.95,trailingTP
679,306.86,680,302.71,trailingTP
695,291.37,696,292.3,trailingTP
