entry_idx,entry_price,exit_idx,exit_price,reason
7,50.165,8,49.69,trailingTP
56,48.6,57,48.285,trailingTP
91,45.725,92,45.4,trailingTP
119,44.2,120,44.25,trailingTP
142,42.825,143,43.2,trailingTP
161,50.26,162,50.49,trailingTP
167,50.41,168,52.84,trailingTP
230,58.495,231,59.31,trailingTP
252,62.45,253,62.955,trailingTP
300,61.335,301,61.07,trailingTP
329,57.67,330,56.93,trailingTP
353,54.925,354,55.14,trailingTP
385,61.23,386,61.215,trailingTP
399,62.655,400,60.87,trailingTP
413,62.34,414,60.635,trailingTP
442,63.18,443,63.035,trailingTP
461,63.48,462,64.55,trailingTP
494,63.41,495,62.9,trailingTP
518,67.75,519,68.11,trailingTP
543,69.0,544,68.77,trailingTP
568,70.935,569,71.18,trailingTP
588,96.1,589,93.91,trailingTP
608,95.0,609,93.485,trailingTP
614,97.14,615,96.2,trailingTP
622,96.75,623,100.89,trailingTP
658,96.16,659,96.49,trailingTP
672,99.15,673,99.65,trailingTP
688,106.68,689,107.45,trailingTP
