entry_idx,entry_price,exit_idx,exit_price,reason
9,5.09,10,5.06,trailingTP
36,5.23,37,5.25,trailingTP
49,5.54,50,5.57,trailingTP
70,6.16,71,6.1,trailingTP
85,5.97,86,5.87,trailingTP
102,5.65,103,5.745,trailingTP
119,5.46,120,5.45,trailingTP
146,4.885,147,4.89,trailingTP
170,4.27,171,4.28,trailingTP
176,4.4,177,4.37,trailingTP
182,4.29,183,4.36,trailingTP
203,4.455,204,4.43,trailingTP
222,4.485,223,4.4,trailingTP
232,4.45,233,4.485,trailingTP
257,4.65,258,4.685,trailingTP
280,4.97,281,4.85,trailingTP
298,4.93,299,4.9,trailingTP
324,4.915,325,4.935,trailingTP
330,4.96,331,4.87,trailingTP
344,7.07,345,6.575,sellSignal
351,6.92,352,6.85,trailingTP
367,6.74,368,6.99,trailingTP
381,6.54,382,6.58,trailingTP
395,6.645,396,6.51,trailingTP
428,7.46,429,7.4,trailingTP
443,7.63,444,7.82,trailingTP
465,7.59,466,7.64,trailingTP
520,10.045,521,9.935,trailingTP
540,9.33,541,9.345,trailingTP
585,13.04,586,12.95,trailingTP
610,12.3,611,12.32,trailingTP
626,12.615,627,12.9,trailingTP
674,13.795,675,14.41,trailingTP
682,14.43,683,14.485,trailingTP
692,14.18,693,14.3,trailingTP
