entry_idx,entry_price,exit_idx,exit_price,reason
7,52.97,8,52.64,trailingTP
35,51.905,36,52.47,trailingTP
55,52.985,56,53.63,trailingTP
82,54.11,83,54.02,trailingTP
112,61.01,113,61.64,trailingTP
140,63.325,141,63.39,trailingTP
155,63.82,156,64.05,trailingTP
182,65.795,183,65.635,trailingTP
194,65.79,195,65.71,trailingTP
230,64.575,231,64.535,trailingTP
280,68.42,281,67.99,trailingTP
341,77.1,342,77.03,trailingTP
364,78.68,365,78.89,trailingTP
384,79.16,385,79.24,trailingTP
413,80.53,414,80.28,trailingTP
439,83.025,440,82.545,trailingTP
461,85.085,462,85.33,trailingTP
483,86.27,484,85.545,trailingTP
493,85.675,494,85.675,trailingTP
501,86.77,502,87.31,trailingTP
518,85.17,519,85.53,trailingTP
539,84.98,540,85.62,trailingTP
567,89.9,568,91.565,trailingTP
578,91.5,579,91.15,trailingTP
602,87.415,603,87.89,trailingTP
622,85.455,623,87.93,trailingTP
637,89.265,638,89.795,trailingTP
651,83.44,652,83.055,trailingTP
673,81.955,674,81.99,trailingTP
691,79.56,692,79.345,trailingTP
706,82.95,707,83.15,trailingTP
