entry_idx,entry_price,exit_idx,exit_price,reason
7,52.305,8,52.595,trailingTP
39,53.31,40,53.48,trailingTP
49,53.26,50,53.23,trailingTP
70,53.68,71,54.085,trailingTP
84,50.87,85,51.06,trailingTP
104,53.39,105,53.41,trailingTP
123,52.64,124,52.65,trailingTP
127,54.52,128,54.125,trailingTP
143,53.07,144,53.0,trailingTP
162,53.375,163,52.61,trailingTP
202,56.315,203,56.42,trailingTP
218,57.25,219,57.18,trailingTP
240,57.11,242,58.095,trailingTP
274,58.49,275,58.31,trailingTP
281,58.62,282,57.9,sellSignal
286,58.49,287,58.355,trailingTP
302,58.15,303,58.78,trailingTP
316,58.24,317,57.83,trailingTP
331,58.255,332,58.51,trailingTP
352,59.1,353,58.71,trailingTP
387,59.595,388,59.47,trailingTP
394,59.96,395,60.075,trailingTP
404,59.96,405,60.025,trailingTP
431,61.34,432,61.27,trailingTP
449,60.12,450,59.28,trailingTP
485,55.985,486,55.46,trailingTP
513,58.66,514,58.63,trailingTP
527,65.73,528,66.6,trailingTP
579,69.625,580,69.615,trailingTP
605,67.84,606,68.82,trailingTP
616,69.03,617,68.815,trailingTP
670,68.15,671,68.125,trailingTP
681,69.69,682,69.05,trailingTP
689,69.32,690,70.245,trailingTP
