entry_idx,entry_price,exit_idx,exit_price,reason
15,177.06,16,177.21,trailingTP
25,176.87,26,177.47,trailingTP
65,184.54,66,184.77,trailingTP
86,191.4,87,191.35,trailingTP
97,197.34,98,193.55,sellSignal
122,194.255,123,195.52,trailingTP
151,190.23,152,194.26,trailingTP
179,196.56,180,197.17,trailingTP
197,202.13,198,203.21,trailingTP
212,203.25,213,204.185,trailingTP
248,201.28,249,199.72,trailingTP
259,207.55,260,206.91,trailingTP
277,208.3,278,207.95,trailingTP
303,210.11,304,209.99,trailingTP
321,231.2,322,232.255,trailingTP
356,241.52,357,240.34,trailingTP
387,253.305,388,250.98,trailingTP
410,253.615,411,253.23,trailingTP
425,245.83,426,245.96,trailingTP
451,243.09,452,240.46,trailingTP
469,246.205,470,245.39,trailingTP
503,243.555,504,241.86,trailingTP
511,241.865,512,240.4,trailingTP
547,254.21,548,255.02,trailingTP
559,252.035,560,251.45,trailingTP
571,253.81,572,253.97,trailingTP
603,269.175,604,270.115,trailingTP
631,284.255,632,283.89,trailingTP
642,283.46,643,283.155,trailingTP
664,279.44,665,278.865,trailingTP
702,280.81,703,286.6,trailingTP
712,289.27,713,280.325,sellSignal
716,286.24,717,287.235,trailingTP
721,288.25,724,295.91,trailingTP
730,304.96,731,303.15,trailingTP
739,295.51,740,299.1,trailingTP
774,322.57,775,318.68,sellSignal
