entry_idx,entry_price,exit_idx,exit_price,reason
6,1.25,7,1.25,trailingTP
35,1.5,36,1.475,trailingTP
49,1.53,50,1.535,trailingTP
84,1.78,85,1.915,trailingTP
92,1.905,93,1.83,sellSignal
102,1.855,103,1.9,trailingTP
119,2.115,120,2.1,trailingTP
140,2.08,141,2.04,trailingTP
153,2.145,154,2.115,trailingTP
175,1.77,176,1.775,trailingTP
182,1.785,183,1.82,trailingTP
201,1.925,202,1.955,trailingTP
226,1.95,227,1.95,trailingTP
231,2.14,232,2.07,trailingTP
279,2.475,280,2.58,trailingTP
301,2.61,302,2.615,trailingTP
317,2.775,318,2.745,trailingTP
364,3.09,365,3.025,trailingTP
377,3.045,378,3.045,trailingTP
390,3.085,391,3.075,trailingTP
418,2.755,419,2.815,trailingTP
441,2.57,442,2.565,trailingTP
456,2.47,457,2.48,trailingTP
472,2.555,473,2.58,trailingTP
484,2.385,485,2.345,trailingTP
497,2.42,498,2.415,trailingTP
521,2.25,522,2.28,trailingTP
537,2.195,538,2.22,trailingTP
546,2.265,547,2.31,trailingTP
557,2.425,558,2.39,trailingTP
568,2.41,569,2.425,trailingTP
574,2.44,575,2.42,trailingTP
607,2.31,608,2.365,trailingTP
619,2.305,620,2.34,trailingTP
651,2.67,652,2.69,trailingTP
695,3.195,696,3.175,trailingTP
