entry_idx,entry_price,exit_idx,exit_price,reason
23,43.35,24,43.47,trailingTP
78,36.34,79,36.02,trailingTP
99,40.185,100,40.42,trailingTP
127,34.34,128,35.0,trailingTP
143,33.315,144,33.15,trailingTP
167,32.935,168,32.83,trailingTP
178,32.14,179,32.085,trailingTP
206,32.87,207,33.0,trailingTP
227,31.03,228,31.29,trailingTP
254,33.635,255,33.475,trailingTP
286,32.4,287,32.115,trailingTP
304,35.84,305,36.37,trailingTP
328,38.79,329,39.18,trailingTP
339,37.845,340,38.33,trailingTP
363,39.24,364,39.84,trailingTP
392,47.98,393,47.68,trailingTP
399,46.4,400,47.26,trailingTP
424,58.77,425,59.08,trailingTP
433,62.73,434,62.66,trailingTP
462,67.71,463,69.61,trailingTP
482,68.0,483,66.45,trailingTP
492,70.39,493,70.79,trailingTP
507,87.2,508,86.5,trailingTP
517,95.83,518,96.44,trailingTP
538,80.37,539,79.55,trailingTP
560,85.22,561,84.59,trailingTP
573,94.605,574,93.35,trailingTP
586,91.9,587,91.27,trailingTP
604,84.74,605,84.45,trailingTP
620,78.17,621,79.41,trailingTP
636,87.35,637,85.17,sellSignal
643,87.77,644,87.01,trailingTP
657,84.1,658,87.675,trailingTP
672,83.97,673,83.68,trailingTP
685,88.23,686,88.62,trailingTP
712,110.04,713,110.345,trailingTP
