entry_idx,entry_price,exit_idx,exit_price,reason
11,27.105,12,27.195,trailingTP
22,27.36,23,27.375,trailingTP
55,28.0,56,27.93,trailingTP
77,26.06,78,25.93,trailingTP
99,24.585,100,24.51,trailingTP
120,24.01,121,23.59,sellSignal
130,23.04,131,23.2,trailingTP
150,25.075,151,25.43,trailingTP
161,25.18,162,25.08,trailingTP
178,28.85,179,28.87,trailingTP
203,27.04,204,27.03,trailingTP
207,27.075,208,27.11,trailingTP
227,25.505,228,25.435,trailingTP
255,28.64,256,28.79,trailingTP
263,28.515,264,28.475,trailingTP
270,28.85,271,29.24,trailingTP
294,30.86,295,30.69,trailingTP
340,30.805,341,30.92,trailingTP
375,35.555,376,35.74,trailingTP
394,35.24,395,35.14,trailingTP
403,34.745,404,34.43,trailingTP
454,43.7,455,44.98,trailingTP
476,45.32,477,44.745,trailingTP
490,45.235,491,45.87,trailingTP
511,45.455,512,44.87,sellSignal
518,46.05,519,45.76,trailingTP
530,42.005,531,44.44,trailingTP
549,42.77,550,42.675,trailingTP
561,42.41,562,42.715,trailingTP
568,42.39,569,42.5,trailingTP
596,48.49,597,49.175,trailingTP
608,49.62,609,48.19,trailingTP
628,59.915,629,63.16,trailingTP
642,63.23,643,62.335,trailingTP
658,59.485,659,59.84,trailingTP
671,61.95,672,60.86,trailingTP
680,56.57,681,56.145,trailingTP
