entry_idx,entry_price,exit_idx,exit_price,reason
9,9.945,10,9.84,trailingTP
21,10.26,22,10.35,trailingTP
39,9.575,40,9.525,trailingTP
69,9.28,70,9.41,trailingTP
106,9.935,107,10.03,trailingTP
141,9.34,142,9.43,trailingTP
161,9.45,162,9.16,trailingTP
168,8.91,169,8.775,trailingTP
201,9.525,202,9.36,trailingTP
207,9.6,208,9.58,trailingTP
217,9.65,218,9.51,trailingTP
239,9.6,240,9.615,trailingTP
263,9.335,264,9.4,trailingTP
273,9.44,274,10.05,trailingTP
287,9.865,288,10.06,trailingTP
314,9.875,315,9.65,trailingTP
338,9.53,339,9.575,trailingTP
357,9.43,358,9.375,trailingTP
378,9.24,379,9.19,trailingTP
412,8.875,413,8.69,sellSignal
432,8.48,433,8.59,trailingTP
440,8.69,441,8.925,trailingTP
450,8.815,451,8.775,trailingTP
474,8.865,475,9.02,trailingTP
483,8.79,484,8.75,trailingTP
496,8.69,497,8.72,trailingTP
516,8.71,517,8.745,trailingTP
530,8.745,531,8.74,trailingTP
535,8.77,536,8.78,trailingTP
572,8.235,573,8.055,trailingTP
584,8.07,585,7.99,trailingTP
595,8.075,596,8.065,trailingTP
605,8.19,606,8.22,trailingTP
638,9.17,639,9.13,trailingTP
668,8.88,669,8.985,trailingTP
