entry_idx,entry_price,exit_idx,exit_price,reason
2,94.53,3,93.76,trailingTP
18,93.775,19,93.82,trailingTP
38,100.67,39,100.02,trailingTP
50,101.08,51,98.96,trailingTP
106,105.17,107,105.74,trailingTP
129,106.6,130,106.41,trailingTP
137,107.19,138,106.24,trailingTP
147,103.02,148,102.31,trailingTP
153,102.695,154,104.36,trailingTP
172,105.68,173,110.99,trailingTP
212,109.49,213,108.57,trailingTP
232,115.03,233,113.28,trailingTP
247,105.33,248,105.35,trailingTP
256,111.09,257,110.05,trailingTP
285,104.22,286,103.31,trailingTP
294,103.815,295,102.54,trailingTP
306,101.38,307,100.845,trailingTP
330,101.26,350,118.87,sellSignal
355,119.9,356,118.95,trailingTP
363,118.13,364,115.695,sellSignal
380,116.78,381,117.59,trailingTP
402,123.35,403,122.84,trailingTP
431,125.1,432,124.96,trailingTP
445,128.82,446,132.2,trailingTP
467,141.995,468,143.0,trailingTP
497,146.99,498,147.93,trailingTP
527,140.08,528,139.58,trailingTP
554,136.295,555,137.225,trailingTP
575,127.25,576,129.75,trailingTP
621,147.34,622,150.15,trailingTP
637,143.84,638,142.08,trailingTP
645,139.35,646,140.32,trailingTP
665,126.435,666,127.98,trailingTP
690,132.205,691,132.89,trailingTP
704,121.845,705,124.71,trailingTP
727,118.13,728,116.225,trailingTP
752,109.41,753,110.895,trailingTP
766,116.11,767,115.61,trailingTP
