entry_idx,entry_price,exit_idx,exit_price,reason
21,34.195,22,34.47,trailingTP
50,32.925,51,33.23,trailingTP
71,33.21,72,33.11,trailingTP
135,31.005,136,31.18,trailingTP
154,31.45,155,31.92,trailingTP
174,32.455,175,32.47,trailingTP
185,32.28,186,32.35,trailingTP
210,33.425,211,33.355,trailingTP
217,33.72,218,33.54,trailingTP
252,36.25,253,36.31,trailingTP
266,36.52,267,36.335,trailingTP
281,37.12,282,36.94,trailingTP
301,37.165,302,37.11,trailingTP
321,37.21,322,37.05,trailingTP
327,37.075,328,37.075,trailingTP
338,37.17,339,37.155,trailingTP
350,37.43,351,37.49,trailingTP
357,38.43,358,38.275,trailingTP
392,39.95,393,39.99,trailingTP
406,39.495,407,39.31,trailingTP
433,39.27,434,39.14,trailingTP
450,38.57,451,38.55,trailingTP
469,38.1,470,37.71,trailingTP
476,38.08,477,38.005,trailingTP
483,37.55,484,37.37,trailingTP
508,37.33,509,37.18,trailingTP
521,38.39,522,38.47,trailingTP
532,38.55,533,38.6,trailingTP
553,39.145,554,39.125,trailingTP
568,38.745,569,38.585,trailingTP
575,38.395,576,38.82,trailingTP
586,38.76,587,38.6,trailingTP
605,40.54,606,40.485,trailingTP
617,40.575,618,40.505,trailingTP
659,44.87,660,44.87,trailingTP
667,44.53,668,44.77,trailingTP
680,44.575,681,44.27,trailingTP
693,44.585,694,44.815,trailingTP
