entry_idx,entry_price,exit_idx,exit_price,reason
7,129.255,8,129.91,trailingTP
49,130.15,50,130.89,trailingTP
77,131.62,78,131.71,trailingTP
103,135.58,104,135.48,trailingTP
119,135.09,120,135.31,trailingTP
126,135.13,127,135.0,trailingTP
138,132.62,139,133.1,trailingTP
168,132.1,169,131.71,trailingTP
182,132.74,183,133.46,trailingTP
203,138.22,204,138.14,trailingTP
228,138.47,229,138.29,trailingTP
233,138.99,234,138.76,trailingTP
258,138.49,259,138.83,trailingTP
279,138.22,282,139.05,sellSignal
284,140.14,285,140.39,trailingTP
300,140.32,302,141.75,trailingTP
320,142.72,321,142.94,trailingTP
329,142.44,330,142.68,trailingTP
353,141.04,354,140.855,trailingTP
367,142.83,368,142.935,trailingTP
379,143.59,380,143.56,trailingTP
406,140.19,407,139.47,trailingTP
462,151.135,463,151.9,trailingTP
484,150.9,485,151.42,trailingTP
493,151.25,494,152.33,trailingTP
511,154.24,512,152.74,trailingTP
543,154.67,544,154.48,trailingTP
574,157.815,575,157.475,trailingTP
581,158.96,582,158.81,trailingTP
593,156.92,594,157.455,trailingTP
604,158.26,605,158.68,trailingTP
621,157.195,622,157.66,trailingTP
653,165.47,654,165.53,trailingTP
659,166.48,660,166.52,trailingTP
668,166.54,669,166.69,trailingTP
679,167.635,680,167.88,trailingTP
688,168.28,689,168.14,trailingTP
