entry_idx,entry_price,exit_idx,exit_price,reason
7,295.005,8,291.91,trailingTP
56,282.58,57,281.745,trailingTP
84,285.68,85,285.43,trailingTP
107,262.15,108,263.415,trailingTP
139,248.74,140,250.12,trailingTP
190,238.69,191,240.15,trailingTP
205,239.09,206,239.48,trailingTP
237,240.39,238,239.38,trailingTP
253,241.64,254,240.79,trailingTP
269,245.125,270,244.69,trailingTP
280,243.48,281,240.86,sellSignal
287,241.49,288,239.84,trailingTP
307,248.365,308,248.645,trailingTP
331,257.6,332,257.94,trailingTP
344,255.85,345,256.535,trailingTP
366,261.52,367,261.48,trailingTP
400,276.28,401,282.45,trailingTP
422,285.34,423,284.63,trailingTP
440,287.88,441,286.86,trailingTP
456,296.5,457,300.76,trailingTP
476,288.19,477,287.7,trailingTP
498,284.355,499,282.84,trailingTP
516,279.11,517,282.18,trailingTP
533,285.0,534,286.11,trailingTP
543,284.64,544,283.3,trailingTP
575,312.285,576,312.86,trailingTP
589,311.27,590,307.265,trailingTP
603,304.6,604,303.015,trailingTP
624,307.76,625,306.77,trailingTP
680,297.41,681,297.56,trailingTP
689,298.015,690,298.185,trailingTP
716,308.365,717,307.28,trailingTP
