entry_idx,entry_price,exit_idx,exit_price,reason
8,98.95,9,98.895,trailingTP
22,99.88,23,100.4,trailingTP
61,98.36,62,97.9,trailingTP
74,95.82,75,95.69,trailingTP
77,98.28,78,99.595,trailingTP
117,108.46,118,108.715,trailingTP
142,97.35,143,97.8,trailingTP
161,95.625,162,94.39,trailingTP
175,95.155,176,94.8,trailingTP
189,99.255,190,99.87,trailingTP
203,101.38,204,101.005,trailingTP
217,101.14,218,101.74,trailingTP
228,100.64,229,100.36,trailingTP
239,103.09,240,102.83,trailingTP
252,100.62,253,99.26,trailingTP
272,99.13,273,99.785,trailingTP
285,97.21,286,97.84,trailingTP
298,96.575,299,97.05,trailingTP
319,98.07,320,98.22,trailingTP
329,97.04,330,98.32,trailingTP
344,97.71,345,97.705,trailingTP
354,100.75,355,100.88,trailingTP
364,102.175,365,102.535,trailingTP
385,102.64,386,101.96,trailingTP
406,92.78,407,91.65,trailingTP
418,92.05,419,91.87,trailingTP
442,101.13,443,100.76,trailingTP
482,93.855,483,95.0,trailingTP
494,91.67,495,91.99,trailingTP
518,97.6,519,99.16,trailingTP
539,98.4,540,98.73,trailingTP
574,98.195,575,97.77,trailingTP
602,124.175,603,122.45,trailingTP
621,121.92,622,121.87,trailingTP
630,123.83,631,122.96,trailingTP
659,122.34,660,122.035,trailingTP
668,121.67,669,121.29,trailingTP
679,123.78,680,124.04,trailingTP
687,121.65,688,124.73,trailingTP
