entry_idx,entry_price,exit_idx,exit_price,reason
13,26.86,14,26.25,sellSignal
24,26.44,25,26.42,trailingTP
28,27.02,29,27.18,trailingTP
59,28.34,60,28.26,trailingTP
75,28.7,76,28.8,trailingTP
85,28.65,86,28.68,trailingTP
94,28.58,95,28.65,trailingTP
111,26.97,112,26.86,trailingTP
128,26.03,129,25.98,trailingTP
133,26.025,134,25.685,trailingTP
143,25.385,144,25.43,trailingTP
149,25.12,150,25.14,trailingTP
164,24.855,165,24.895,trailingTP
198,25.77,199,25.71,trailingTP
210,25.8,211,25.795,trailingTP
224,26.055,225,25.745,trailingTP
259,27.83,260,28.27,trailingTP
279,28.535,280,29.36,trailingTP
301,29.4,302,29.37,trailingTP
320,30.835,321,30.69,trailingTP
327,30.995,328,31.04,trailingTP
352,32.72,353,32.51,trailingTP
361,32.31,362,32.38,trailingTP
366,32.17,367,32.0,trailingTP
374,32.2,375,32.06,trailingTP
403,32.22,404,32.375,trailingTP
421,32.56,422,32.52,trailingTP
438,32.925,439,32.995,trailingTP
445,34.03,446,33.71,trailingTP
467,32.23,468,32.045,trailingTP
473,31.56,474,31.87,trailingTP
489,31.705,490,31.35,trailingTP
504,31.72,505,31.79,trailingTP
510,31.675,511,32.0,trailingTP
531,32.315,532,32.16,trailingTP
538,32.85,539,33.37,trailingTP
553,32.54,554,32.555,trailingTP
565,32.765,566,32.455,trailingTP
582,32.64,583,32.65,trailingTP
589,32.54,590,32.73,trailingTP
624,35.0,625,35.2,trailingTP
638,35.605,639,35.77,trailingTP
659,35.24,660,35.125,trailingTP
678,36.91,679,36.625,trailingTP
686,36.5,687,36.27,trailingTP
699,36.46,700,36.815,trailingTP
706,36.275,707,36.475,trailingTP
