entry_idx,entry_price,exit_idx,exit_price,reason
5,80.19,6,80.135,trailingTP
22,80.61,23,80.59,trailingTP
36,82.7,37,82.54,trailingTP
52,82.29,53,82.13,trailingTP
77,83.21,78,83.16,trailingTP
92,84.625,93,84.75,trailingTP
103,83.84,104,83.77,trailingTP
138,83.24,139,83.32,trailingTP
151,84.445,152,84.935,trailingTP
168,85.585,169,85.32,trailingTP
182,83.855,183,83.825,trailingTP
196,83.6,197,83.525,trailingTP
201,83.6,202,83.34,trailingTP
210,83.34,211,83.475,trailingTP
222,83.49,223,83.25,sellSignal
227,83.695,228,83.32,trailingTP
256,87.75,257,88.09,trailingTP
288,88.17,289,87.87,trailingTP
309,87.375,310,87.53,trailingTP
318,90.94,319,90.95,trailingTP
340,91.88,341,92.34,trailingTP
376,92.54,377,92.825,trailingTP
390,94.235,391,93.93,trailingTP
402,94.045,403,94.03,trailingTP
421,90.27,422,90.69,trailingTP
438,90.09,439,90.525,trailingTP
448,90.46,449,90.87,trailingTP
456,90.84,457,89.82,sellSignal
463,89.48,464,90.43,trailingTP
480,88.15,481,88.61,trailingTP
511,86.0,512,85.86,trailingTP
525,86.24,526,86.62,trailingTP
541,91.16,542,90.69,trailingTP
559,91.48,564,92.92,sellSignal
586,89.755,587,87.865,sellSignal
594,89.16,595,89.87,trailingTP
601,89.95,602,90.275,trailingTP
631,96.63,632,96.93,trailingTP
643,96.7,644,98.285,trailingTP
653,99.25,654,99.17,trailingTP
659,99.13,660,100.54,trailingTP
668,98.71,669,98.41,trailingTP
691,97.59,692,96.875,trailingTP
