entry_idx,entry_price,exit_idx,exit_price,reason
8,68.14,9,68.32,trailingTP
15,68.42,16,68.33,trailingTP
38,69.18,39,69.15,trailingTP
50,69.32,51,68.8,trailingTP
78,68.335,79,68.63,trailingTP
112,73.925,113,75.35,trailingTP
139,75.62,140,75.615,trailingTP
167,78.21,168,78.52,trailingTP
206,86.55,207,86.93,trailingTP
221,85.475,222,85.21,trailingTP
246,85.83,247,85.44,trailingTP
259,84.825,260,84.56,trailingTP
279,84.62,282,86.375,sellSignal
287,87.33,288,86.91,trailingTP
303,86.155,304,86.18,trailingTP
314,86.57,315,86.02,trailingTP
327,86.75,328,86.245,trailingTP
350,84.19,351,83.445,trailingTP
386,85.435,387,85.0,trailingTP
406,82.87,407,82.455,trailingTP
444,86.785,445,86.71,trailingTP
461,87.21,462,85.26,sellSignal
472,85.67,473,85.13,trailingTP
485,84.655,486,84.76,trailingTP
494,85.15,495,85.51,trailingTP
531,87.34,532,87.88,trailingTP
564,90.875,565,92.53,trailingTP
574,93.425,575,93.6,trailingTP
621,105.78,622,105.99,trailingTP
653,106.45,654,106.28,trailingTP
665,106.665,666,104.97,trailingTP
680,102.85,681,101.93,trailingTP
710,106.62,711,106.25,trailingTP
