entry_idx,entry_price,exit_idx,exit_price,reason
9,22.84,10,23.37,trailingTP
25,23.55,26,23.585,trailingTP
48,23.345,49,23.31,trailingTP
70,22.84,71,23.0,trailingTP
86,23.55,87,23.34,trailingTP
107,23.56,108,23.49,trailingTP
129,20.885,130,20.975,trailingTP
171,19.53,172,19.5,trailingTP
192,20.37,193,20.325,trailingTP
205,19.97,206,19.915,trailingTP
211,19.925,212,19.96,trailingTP
263,25.0,264,26.04,trailingTP
290,24.155,291,24.465,trailingTP
319,24.69,320,24.84,trailingTP
349,24.22,350,24.17,trailingTP
361,24.29,362,24.22,trailingTP
378,24.515,379,24.62,trailingTP
394,24.635,395,24.325,trailingTP
418,24.38,419,25.25,trailingTP
442,32.44,443,31.215,trailingTP
468,29.965,469,29.965,trailingTP
476,30.47,477,30.8,trailingTP
519,34.17,520,34.435,trailingTP
542,37.825,543,37.74,trailingTP
551,37.705,552,37.475,trailingTP
561,37.48,562,37.335,trailingTP
594,36.3,595,36.33,trailingTP
602,36.93,603,37.125,trailingTP
645,36.93,646,36.92,trailingTP
664,40.26,665,40.135,trailingTP
694,41.255,695,41.345,trailingTP
720,38.04,721,37.86,trailingTP
735,38.12,736,37.3,trailingTP
774,35.285,775,35.765,trailingTP
796,35.23,797,35.07,trailingTP
815,34.225,816,34.16,trailingTP
837,36.505,838,36.755,trailingTP
