entry_idx,entry_price,exit_idx,exit_price,reason
7,47.11,8,45.91,trailingTP
42,42.57,43,42.44,trailingTP
56,42.57,57,42.91,trailingTP
88,42.75,89,42.455,trailingTP
116,42.67,117,41.71,trailingTP
130,41.39,131,41.32,trailingTP
144,40.24,145,39.3,trailingTP
169,40.84,170,39.93,trailingTP
210,40.46,211,41.04,trailingTP
241,37.2,242,37.22,trailingTP
261,40.19,262,40.48,trailingTP
276,41.83,277,42.7,trailingTP
296,42.325,297,42.99,trailingTP
305,41.83,306,42.33,trailingTP
326,41.69,327,41.735,trailingTP
342,45.08,343,46.25,trailingTP
387,70.44,388,70.24,trailingTP
395,70.65,396,73.11,trailingTP
449,62.955,450,64.035,trailingTP
455,66.29,456,66.76,trailingTP
498,77.56,499,74.62,trailingTP
507,76.51,508,78.12,trailingTP
544,65.48,545,62.92,sellSignal
567,55.41,568,59.78,trailingTP
599,59.92,600,61.055,trailingTP
637,54.37,638,55.2,trailingTP
658,54.38,659,57.775,trailingTP
696,47.58,697,48.05,trailingTP
734,42.83,735,40.555,sellSignal
743,42.68,744,43.54,trailingTP
765,47.55,766,46.93,trailingTP
