entry_idx,entry_price,exit_idx,exit_price,reason
8,167.15,9,166.615,trailingTP
21,164.27,22,167.215,trailingTP
54,158.53,55,158.68,trailingTP
77,185.95,78,185.05,trailingTP
107,200.535,108,200.22,trailingTP
138,183.16,139,182.41,trailingTP
153,183.84,154,178.19,sellSignal
161,179.86,162,177.41,sellSignal
168,179.95,169,178.275,trailingTP
202,189.46,203,191.35,trailingTP
239,191.02,240,192.65,trailingTP
262,188.09,263,188.18,trailingTP
272,188.61,273,191.26,trailingTP
292,184.07,293,184.43,trailingTP
299,183.66,300,184.13,trailingTP
315,189.79,316,188.81,trailingTP
330,188.055,331,188.905,trailingTP
357,188.0,358,188.93,trailingTP
366,188.93,367,189.25,trailingTP
385,188.35,386,188.945,trailingTP
406,178.21,407,178.27,trailingTP
417,180.9,418,181.03,trailingTP
469,203.65,470,204.53,trailingTP
483,201.16,484,203.24,trailingTP
492,205.06,493,205.0,trailingTP
504,206.335,505,206.47,trailingTP
516,204.43,517,204.4,trailingTP
539,219.01,540,218.1,trailingTP
561,220.59,562,216.16,trailingTP
592,214.01,593,214.51,trailingTP
596,214.91,597,214.7,trailingTP
614,212.42,615,210.92,trailingTP
621,210.8,622,210.48,trailingTP
668,218.245,669,218.54,trailingTP
679,221.04,680,220.28,trailingTP
687,220.01,688,223.71,trailingTP
697,227.42,698,227.43,trailingTP
713,231.955,714,231.25,trailingTP
