entry_idx,entry_price,exit_idx,exit_price,reason
2,17.28,3,17.135,trailingTP
37,17.92,38,17.54,trailingTP
54,17.295,55,17.26,trailingTP
73,17.94,79,18.73,sellSignal
95,19.0,96,19.09,trailingTP
132,16.0,133,16.265,trailingTP
151,15.74,152,15.82,trailingTP
180,18.57,181,18.58,trailingTP
196,18.48,197,18.28,trailingTP
211,18.975,212,18.115,trailingTP
240,18.65,241,18.94,trailingTP
281,22.99,282,23.45,trailingTP
328,26.805,329,26.19,trailingTP
378,37.885,379,37.14,trailingTP
408,43.22,409,46.505,trailingTP
418,48.925,419,48.25,trailingTP
432,44.22,433,43.66,trailingTP
457,48.16,458,47.32,trailingTP
487,61.425,488,59.1,trailingTP
505,65.41,506,64.36,trailingTP
516,67.49,517,68.215,trailingTP
556,57.055,557,52.56,trailingTP
564,54.865,565,55.145,trailingTP
608,61.69,609,62.15,trailingTP
622,69.72,623,69.52,trailingTP
630,71.98,631,73.13,trailingTP
651,63.04,652,64.56,trailingTP
687,48.79,688,48.535,trailingTP
719,49.14,720,49.74,trailingTP
739,45.195,740,46.28,trailingTP
757,47.785,758,46.96,trailingTP
