entry_idx,entry_price,exit_idx,exit_price,reason
2,610.66,3,609.71,trailingTP
16,604.09,17,604.3,trailingTP
23,598.26,24,591.56,sellSignal
29,595.64,30,594.51,trailingTP
44,609.22,45,603.92,trailingTP
70,569.69,71,561.52,trailingTP
87,545.18,88,527.07,trailingTP
96,537.74,97,548.99,trailingTP
119,593.835,120,590.46,trailingTP
138,610.03,139,610.07,trailingTP
166,634.09,167,630.99,trailingTP
180,648.28,181,645.67,trailingTP
188,652.18,189,650.34,trailingTP
205,666.64,206,669.3,trailingTP
220,674.62,221,674.46,trailingTP
235,684.72,236,686.23,trailingTP
246,678.35,247,683.02,trailingTP
