entry_idx,entry_price,exit_idx,exit_price,reason
7,108.64,8,111.12,trailingTP
14,110.33,15,110.31,trailingTP
32,110.91,33,110.4,trailingTP
69,113.225,70,113.18,trailingTP
100,118.32,101,118.33,trailingTP
109,117.49,110,116.03,trailingTP
116,116.585,117,116.865,trailingTP
133,114.96,134,114.61,trailingTP
159,108.955,160,107.605,trailingTP
180,112.01,181,112.23,trailingTP
222,119.5,223,118.16,sellSignal
228,119.02,229,118.825,trailingTP
256,125.08,257,126.14,trailingTP
269,125.29,270,126.1,trailingTP
301,129.56,302,130.24,trailingTP
311,129.76,312,129.87,trailingTP
328,127.68,329,127.71,trailingTP
345,126.11,346,125.55,trailingTP
351,126.78,352,126.63,trailingTP
365,130.34,366,130.78,trailingTP
377,130.2,378,129.74,trailingTP
382,130.18,383,131.76,trailingTP
396,129.58,397,128.8,trailingTP
404,129.005,405,127.36,trailingTP
421,131.45,422,131.09,trailingTP
459,137.32,460,137.37,trailingTP
467,138.94,468,138.38,trailingTP
487,135.14,488,134.43,trailingTP
491,134.67,492,134.58,trailingTP
499,135.67,500,135.79,trailingTP
513,136.2,514,136.03,trailingTP
523,136.53,524,136.645,trailingTP
535,138.49,536,138.04,trailingTP
556,139.235,557,138.89,trailingTP
570,137.39,571,137.695,trailingTP
579,138.29,580,136.99,trailingTP
601,138.77,602,139.185,trailingTP
610,134.915,611,133.95,trailingTP
617,131.85,618,131.2,trailingTP
690,179.42,691,181.625,trailingTP
711,177.21,712,176.81,trailingTP
