entry_idx,entry_price,exit_idx,exit_price,reason
21,284.995,22,286.71,trailingTP
37,287.8,38,288.4,trailingTP
56,288.63,57,287.62,trailingTP
80,293.075,81,292.14,trailingTP
84,293.68,85,293.01,trailingTP
105,298.74,106,298.46,trailingTP
119,298.745,120,299.255,trailingTP
140,292.67,141,293.1,trailingTP
154,292.51,155,292.17,trailingTP
168,289.89,169,289.23,trailingTP
195,290.49,196,291.04,trailingTP
213,291.56,214,291.19,trailingTP
227,291.26,228,292.61,trailingTP
255,296.46,256,296.56,trailingTP
277,302.33,278,302.225,trailingTP
287,299.64,288,299.32,trailingTP
294,299.46,295,300.57,trailingTP
316,295.385,317,296.805,trailingTP
355,310.095,356,309.87,trailingTP
368,311.935,369,311.81,trailingTP
377,314.76,378,314.68,trailingTP
386,315.92,387,315.675,trailingTP
393,315.79,394,316.305,trailingTP
401,314.91,402,314.13,trailingTP
427,315.42,428,310.425,sellSignal
442,310.755,443,310.74,trailingTP
477,308.5,478,306.28,trailingTP
484,309.0,485,307.47,trailingTP
498,309.92,499,310.56,trailingTP
520,301.68,521,301.18,trailingTP
539,294.09,540,295.65,trailingTP
605,311.07,606,312.445,trailingTP
622,313.92,623,314.265,trailingTP
638,321.98,639,321.73,trailingTP
669,302.425,670,300.845,trailingTP
703,300.94,704,302.65,trailingTP
