entry_idx,entry_price,exit_idx,exit_price,reason
7,3.83,8,3.84,trailingTP
24,4.42,25,4.43,trailingTP
32,4.52,33,4.76,trailingTP
54,4.805,55,4.84,trailingTP
77,5.21,78,5.21,trailingTP
117,7.96,118,7.965,trailingTP
136,6.695,137,6.64,trailingTP
179,8.2,180,8.19,trailingTP
194,9.6,195,9.445,trailingTP
211,10.56,212,10.64,trailingTP
227,9.525,228,9.29,trailingTP
255,9.7,256,9.58,trailingTP
275,9.045,276,9.08,trailingTP
291,8.61,292,8.55,trailingTP
316,10.08,317,9.95,trailingTP
323,9.895,324,9.93,trailingTP
336,9.22,337,9.75,trailingTP
344,9.56,345,9.75,trailingTP
357,9.55,358,9.5,trailingTP
369,11.625,370,13.125,trailingTP
383,14.85,384,15.03,trailingTP
412,16.13,413,16.0,trailingTP
432,15.015,433,15.47,trailingTP
454,14.45,455,14.92,trailingTP
474,11.92,475,11.78,trailingTP
482,12.03,483,12.0,trailingTP
499,15.4,500,15.015,trailingTP
509,16.33,510,16.9,trailingTP
537,18.63,538,17.62,trailingTP
579,18.455,580,17.5,trailingTP
595,18.115,596,18.05,trailingTP
611,16.77,612,17.09,trailingTP
641,18.895,642,19.78,trailingTP
648,19.47,649,19.765,trailingTP
661,19.5,662,19.245,trailingTP
679,21.16,680,21.345,trailingTP
695,22.2,696,22.75,trailingTP
