entry_idx,entry_price,exit_idx,exit_price,reason
7,60.01,8,60.57,trailingTP
36,67.33,37,67.17,trailingTP
50,64.29,51,65.64,trailingTP
72,64.69,73,63.68,trailingTP
81,62.26,82,63.07,trailingTP
107,65.88,108,65.42,trailingTP
121,63.95,122,64.87,trailingTP
129,63.31,130,63.9,trailingTP
139,61.35,140,61.44,trailingTP
145,61.93,146,62.17,trailingTP
162,61.85,163,61.84,trailingTP
170,60.17,171,60.46,trailingTP
185,61.2,186,61.21,trailingTP
207,70.19,208,70.14,trailingTP
234,68.24,235,66.9,sellSignal
236,68.11,237,68.835,trailingTP
262,69.53,263,70.48,trailingTP
280,69.225,284,73.88,sellSignal
287,76.38,288,76.33,trailingTP
295,78.02,296,78.39,trailingTP
301,76.86,302,77.58,trailingTP
323,80.51,324,80.87,trailingTP
333,80.075,334,81.14,trailingTP
353,76.95,354,77.64,trailingTP
359,80.63,360,80.58,trailingTP
367,81.43,368,81.08,trailingTP
379,83.58,380,84.58,trailingTP
393,86.69,394,88.18,trailingTP
408,84.54,409,83.2,trailingTP
421,92.73,422,90.49,sellSignal
424,92.57,425,92.185,trailingTP
435,98.22,436,96.01,sellSignal
439,98.46,440,98.97,trailingTP
461,103.65,462,105.46,trailingTP
468,112.57,469,111.77,trailingTP
483,109.29,484,109.05,trailingTP
490,107.18,491,109.48,trailingTP
495,114.01,496,116.33,trailingTP
509,118.51,510,112.94,trailingTP
537,113.925,538,113.21,trailingTP
553,123.0,554,124.64,trailingTP
570,129.45,571,128.99,trailingTP
574,129.44,575,129.13,trailingTP
587,131.345,588,122.97,sellSignal
593,120.3,594,120.875,trailingTP
604,118.75,605,119.38,trailingTP
620,112.75,621,116.58,trailingTP
627,121.62,628,121.43,trailingTP
650,133.87,651,133.94,trailingTP
658,136.48,659,138.755,trailingTP
667,137.04,668,137.52,trailingTP
679,140.0,680,144.42,trailingTP
688,137.55,689,143.43,trailingTP
