entry_idx,entry_price,exit_idx,exit_price,reason
1,177.475,2,181.66,trailingTP
21,180.55,22,186.75,trailingTP
54,224.245,55,226.8,trailingTP
84,231.265,85,226.93,trailingTP
89,226.21,90,228.31,trailingTP
111,239.05,112,234.44,trailingTP
116,229.575,117,228.895,trailingTP
135,211.24,136,210.655,trailingTP
145,206.54,146,209.91,trailingTP
169,241.9,170,231.92,trailingTP
182,224.59,183,226.78,trailingTP
227,170.76,228,173.46,trailingTP
253,203.36,254,209.115,trailingTP
267,205.075,268,211.79,trailingTP
286,201.545,287,204.59,trailingTP
305,199.49,306,201.39,trailingTP
330,223.26,331,225.49,trailingTP
338,226.54,339,223.15,trailingTP
353,235.15,354,232.255,trailingTP
363,230.03,364,240.3,trailingTP
381,305.38,382,308.36,trailingTP
400,305.61,401,305.76,trailingTP
419,315.89,420,315.65,trailingTP
428,327.69,429,332.25,trailingTP
442,355.88,443,356.96,trailingTP
447,351.275,448,350.19,trailingTP
461,374.775,462,373.72,trailingTP
469,379.95,470,388.69,trailingTP
475,395.09,476,405.95,trailingTP
482,406.5,483,415.32,trailingTP
492,412.15,493,410.685,trailingTP
504,438.92,505,421.56,sellSignal
517,387.8,518,380.37,trailingTP
538,328.26,539,325.845,trailingTP
560,370.955,561,374.34,trailingTP
567,386.45,568,393.19,trailingTP
585,372.235,586,368.15,trailingTP
601,337.99,602,337.23,trailingTP
619,278.9,620,292.32,trailingTP
671,261.02,672,259.98,trailingTP
693,245.62,694,249.5,trailingTP
707,255.395,708,256.33,trailingTP
