entry_idx,entry_price,exit_idx,exit_price,reason
1,114.305,2,114.355,trailingTP
4,115.34,5,116.1,trailingTP
25,123.78,26,124.39,trailingTP
31,124.1,32,124.345,trailingTP
67,135.395,68,135.475,trailingTP
82,135.755,83,134.985,trailingTP
94,136.68,95,137.045,trailingTP
100,136.89,101,134.31,trailingTP
111,132.79,112,131.81,trailingTP
123,135.315,124,134.71,trailingTP
128,134.62,129,134.85,trailingTP
147,142.89,148,140.22,trailingTP
178,152.47,179,154.2,trailingTP
188,153.8,189,153.805,trailingTP
204,159.44,205,160.015,trailingTP
215,160.395,216,160.98,trailingTP
220,162.25,221,162.04,trailingTP
241,168.91,242,167.295,sellSignal
247,168.22,248,168.02,trailingTP
253,166.02,254,166.11,trailingTP
258,166.235,259,166.01,trailingTP
270,165.255,271,165.73,trailingTP
275,165.01,276,165.065,trailingTP
281,165.65,282,166.075,trailingTP
295,168.64,296,170.21,trailingTP
308,168.66,309,171.7,trailingTP
325,166.15,326,166.57,trailingTP
330,169.23,331,169.75,trailingTP
353,179.725,354,180.66,trailingTP
361,182.25,362,182.645,trailingTP
370,182.64,371,184.74,trailingTP
377,179.925,378,179.56,trailingTP
381,179.99,382,179.46,trailingTP
386,180.19,387,181.3,trailingTP
398,184.11,399,183.325,trailingTP
402,185.03,403,185.0,trailingTP
414,185.48,415,185.98,trailingTP
420,190.61,421,189.89,trailingTP
438,188.13,439,188.755,trailingTP
454,190.94,455,191.46,trailingTP
467,204.86,468,202.685,trailingTP
475,208.835,476,209.435,trailingTP
486,206.04,487,204.855,trailingTP
497,202.275,498,204.74,trailingTP
501,205.875,502,203.515,trailingTP
509,207.0,510,205.04,trailingTP
518,208.34,519,206.0,trailingTP
525,204.09,526,203.32,trailingTP
532,203.92,533,203.01,trailingTP
539,205.77,540,205.49,trailingTP
548,206.215,549,204.08,sellSignal
