entry_idx,entry_price,exit_idx,exit_price,reason
7,93.45,8,92.04,trailingTP
21,91.495,22,89.925,trailingTP
42,94.505,43,96.27,trailingTP
71,103.41,72,104.395,trailingTP
84,102.39,85,104.05,trailingTP
102,103.58,103,104.05,trailingTP
126,113.26,127,111.79,trailingTP
135,107.79,136,106.945,trailingTP
154,110.195,155,108.7,trailingTP
209,115.91,210,115.77,trailingTP
230,115.93,231,116.07,trailingTP
261,127.72,262,127.64,trailingTP
266,130.25,267,133.62,trailingTP
288,134.72,289,134.47,trailingTP
329,165.75,330,165.22,trailingTP
343,165.85,344,166.47,trailingTP
364,170.915,365,171.5,trailingTP
381,164.9,382,164.78,trailingTP
401,156.21,402,159.91,trailingTP
428,164.79,429,171.17,trailingTP
438,171.54,439,171.43,trailingTP
452,164.58,453,165.45,trailingTP
463,162.97,464,160.135,trailingTP
484,158.87,485,156.765,trailingTP
493,160.23,494,160.35,trailingTP
505,161.96,506,165.71,trailingTP
540,164.12,541,166.5,trailingTP
583,205.71,584,199.32,trailingTP
603,223.35,604,233.83,trailingTP
622,243.18,623,240.08,trailingTP
638,263.35,639,260.005,trailingTP
652,235.02,653,232.84,trailingTP
669,251.835,670,246.62,trailingTP
690,250.27,691,252.02,trailingTP
709,298.625,710,301.89,trailingTP
