entry_idx,entry_price,exit_idx,exit_price,reason
7,782.22,8,790.685,trailingTP
21,792.47,22,795.33,trailingTP
34,793.005,35,791.23,trailingTP
49,782.325,50,794.485,trailingTP
64,773.99,65,771.44,trailingTP
77,773.91,78,776.99,trailingTP
105,812.19,106,812.75,trailingTP
134,765.42,135,755.28,trailingTP
146,768.12,147,768.875,trailingTP
177,641.64,178,650.645,trailingTP
191,657.49,192,652.54,trailingTP
231,701.78,232,705.13,trailingTP
254,723.735,255,719.1,trailingTP
275,733.905,276,734.245,trailingTP
286,733.745,287,733.6,trailingTP
313,731.81,314,734.46,trailingTP
341,756.33,342,755.44,trailingTP
352,753.045,353,754.6,trailingTP
381,760.455,382,759.13,trailingTP
408,725.88,409,719.005,trailingTP
444,843.59,445,838.04,trailingTP
464,854.44,465,851.67,trailingTP
499,817.74,500,824.55,trailingTP
514,801.87,515,793.81,trailingTP
538,813.4,539,809.11,trailingTP
561,823.655,562,826.28,trailingTP
573,827.61,574,826.7,trailingTP
578,845.0,579,847.53,trailingTP
625,924.24,661,1019.45,sellSignal
670,1032.415,671,1033.93,trailingTP
689,1053.5,690,1049.98,trailingTP
703,1086.255,704,1092.29,trailingTP
