entry_idx,entry_price,exit_idx,exit_price,reason
7,99.15,8,99.585,trailingTP
18,100.16,19,100.27,trailingTP
42,101.01,43,100.97,trailingTP
52,98.955,53,99.53,trailingTP
91,97.74,92,98.21,trailingTP
105,99.4,106,98.45,trailingTP
128,95.25,129,94.24,trailingTP
135,95.89,136,95.53,trailingTP
161,99.04,162,98.25,trailingTP
183,104.285,184,105.325,trailingTP
218,99.92,219,100.085,trailingTP
238,99.43,239,102.005,trailingTP
252,101.93,253,102.52,trailingTP
293,97.73,294,98.21,trailingTP
322,105.64,323,105.69,trailingTP
375,127.45,376,127.54,trailingTP
412,128.31,413,131.81,trailingTP
426,133.89,427,133.24,trailingTP
464,141.9,465,142.12,trailingTP
483,137.16,484,137.045,trailingTP
497,143.59,498,143.765,trailingTP
518,146.15,519,146.1,trailingTP
538,141.38,539,144.6,trailingTP
568,162.81,569,160.085,trailingTP
589,160.565,590,161.19,trailingTP
603,161.54,604,162.72,trailingTP
622,158.08,623,159.34,trailingTP
642,161.54,643,161.24,trailingTP
659,152.985,660,149.97,trailingTP
673,149.78,674,148.68,trailingTP
689,142.495,690,141.205,trailingTP
705,151.17,706,151.58,trailingTP
