entry_idx,entry_price,exit_idx,exit_price,reason
6,48.35,7,48.64,trailingTP
36,50.02,37,49.96,trailingTP
46,50.105,47,49.88,trailingTP
82,48.455,83,48.5,trailingTP
119,53.0,120,53.215,trailingTP
140,52.81,141,52.81,trailingTP
155,52.49,156,52.61,trailingTP
181,53.03,182,53.52,trailingTP
203,54.42,204,54.465,trailingTP
220,53.62,221,53.525,trailingTP
239,53.98,240,54.69,trailingTP
317,54.08,318,53.84,trailingTP
358,52.3,359,52.265,trailingTP
386,53.99,387,53.76,trailingTP
400,53.2,401,53.21,trailingTP
429,54.05,430,54.37,trailingTP
441,55.065,442,51.0,sellSignal
449,52.72,450,52.7,trailingTP
463,52.925,464,54.0,trailingTP
476,51.855,477,51.775,trailingTP
491,47.19,492,47.93,trailingTP
519,50.48,520,50.22,trailingTP
527,50.31,528,50.36,trailingTP
537,50.7,538,50.79,trailingTP
569,59.06,570,59.135,trailingTP
631,67.21,632,67.38,trailingTP
654,66.08,655,66.08,trailingTP
668,64.915,669,64.975,trailingTP
680,65.54,681,65.495,trailingTP
689,64.535,690,64.52,trailingTP
