entry_idx,entry_price,exit_idx,exit_price,reason
7,16.315,8,16.325,trailingTP
24,15.745,25,15.41,sellSignal
70,14.93,71,14.955,trailingTP
80,15.005,81,14.95,trailingTP
107,14.355,108,14.295,trailingTP
126,14.03,127,14.135,trailingTP
141,14.18,142,14.055,trailingTP
149,14.485,150,14.34,trailingTP
164,14.39,165,14.025,trailingTP
169,14.21,170,13.95,trailingTP
189,13.905,190,13.89,trailingTP
230,15.38,231,15.415,trailingTP
238,15.73,239,15.79,trailingTP
282,16.15,283,16.225,trailingTP
300,16.875,301,16.755,trailingTP
341,18.78,342,18.68,trailingTP
383,22.72,384,22.965,trailingTP
418,21.88,419,22.18,trailingTP
438,22.12,439,21.79,trailingTP
471,21.38,472,21.29,trailingTP
490,19.445,491,19.47,trailingTP
526,19.965,527,20.025,trailingTP
546,20.265,547,20.47,trailingTP
566,20.59,567,20.625,trailingTP
577,20.295,578,20.11,trailingTP
591,20.295,592,20.57,trailingTP
614,20.185,615,20.27,trailingTP
631,21.855,632,22.04,trailingTP
689,21.685,690,21.57,trailingTP
703,20.56,704,19.95,trailingTP
717,20.03,718,20.33,trailingTP
724,20.865,725,20.93,trailingTP
