entry_idx,entry_price,exit_idx,exit_price,reason
6,278.42,7,279.8,trailingTP
21,281.13,22,282.72,trailingTP
32,281.78,33,282.31,trailingTP
38,283.22,39,283.13,trailingTP
82,272.37,83,272.98,trailingTP
90,273.45,91,274.25,trailingTP
141,257.68,142,256.92,trailingTP
156,261.7,157,260.92,trailingTP
170,261.74,171,261.89,trailingTP
182,260.59,183,262.63,trailingTP
212,266.61,213,266.42,trailingTP
238,266.24,239,272.29,trailingTP
259,269.145,260,269.34,trailingTP
284,263.54,285,263.85,trailingTP
309,267.12,310,266.99,trailingTP
329,264.77,330,267.69,trailingTP
344,267.54,345,265.29,trailingTP
364,264.7,365,264.04,trailingTP
385,265.83,386,265.5,trailingTP
392,264.23,393,262.27,trailingTP
406,265.22,407,264.47,trailingTP
432,261.75,433,261.86,trailingTP
463,267.35,464,267.03,trailingTP
485,264.34,486,264.87,trailingTP
491,263.825,492,265.325,trailingTP
513,262.62,514,261.825,trailingTP
525,264.85,526,266.03,trailingTP
546,271.99,547,270.52,trailingTP
570,266.22,571,265.85,trailingTP
575,265.59,576,265.74,trailingTP
587,260.72,588,259.99,trailingTP
616,288.795,617,288.66,trailingTP
633,293.59,634,292.44,trailingTP
667,285.395,668,285.48,trailingTP
679,286.7,680,287.78,trailingTP
686,286.965,687,292.0,trailingTP
700,300.6,701,303.76,trailingTP
