entry_idx,entry_price,exit_idx,exit_price,reason
5,208.695,6,210.06,trailingTP
42,208.215,43,205.275,trailingTP
55,209.655,56,213.42,trailingTP
86,227.69,87,228.51,trailingTP
109,245.17,110,245.65,trailingTP
122,242.27,123,245.345,trailingTP
140,227.96,141,225.24,trailingTP
166,222.07,167,227.96,trailingTP
184,206.09,185,208.31,trailingTP
203,211.7,204,214.27,trailingTP
239,219.0,240,217.61,trailingTP
259,263.53,260,280.0,trailingTP
281,315.8,282,319.59,trailingTP
298,314.625,299,314.375,trailingTP
345,341.8,346,337.88,trailingTP
373,321.245,374,320.085,trailingTP
403,315.5,404,313.9,trailingTP
429,320.21,430,319.595,trailingTP
453,326.06,454,327.36,trailingTP
463,318.61,464,321.375,trailingTP
495,317.28,496,314.65,trailingTP
516,317.0,517,318.57,trailingTP
540,324.93,541,328.44,trailingTP
555,342.51,556,339.06,trailingTP
572,341.69,573,341.07,trailingTP
576,347.72,577,351.83,trailingTP
589,359.97,590,371.47,trailingTP
593,369.66,594,370.22,trailingTP
598,368.0,599,355.2,trailingTP
623,355.05,624,360.32,trailingTP
656,350.095,657,353.07,trailingTP
684,349.7,685,348.51,trailingTP
698,330.145,699,330.59,trailingTP
719,333.16,720,334.28,trailingTP
