entry_idx,entry_price,exit_idx,exit_price,reason
7,88.495,8,88.89,trailingTP
19,88.915,20,89.015,trailingTP
28,90.1,29,89.65,trailingTP
49,89.7,50,89.21,trailingTP
62,89.54,63,90.17,trailingTP
77,90.93,78,90.5,trailingTP
141,89.7,142,89.72,trailingTP
147,89.86,148,89.57,trailingTP
161,91.115,162,90.7,trailingTP
189,92.51,190,92.17,trailingTP
203,92.61,204,92.55,trailingTP
224,93.77,225,93.98,trailingTP
238,92.36,239,92.44,trailingTP
273,92.625,274,92.41,trailingTP
293,92.26,294,92.7,trailingTP
301,93.55,302,93.235,trailingTP
314,92.98,315,93.95,trailingTP
329,93.3,330,93.32,trailingTP
350,94.46,351,94.905,trailingTP
367,95.385,368,95.5,trailingTP
375,95.47,376,95.33,trailingTP
393,95.88,394,95.52,trailingTP
409,94.565,410,94.54,trailingTP
420,94.435,421,94.57,trailingTP
431,93.81,432,94.505,trailingTP
466,98.36,467,97.89,trailingTP
491,96.36,492,96.22,trailingTP
504,95.79,505,95.63,trailingTP
522,95.73,523,95.6,trailingTP
594,90.21,595,89.76,trailingTP
608,90.415,609,90.53,trailingTP
658,96.46,659,96.94,trailingTP
665,100.86,666,100.575,trailingTP
687,100.92,688,101.4,trailingTP
