entry_idx,entry_price,exit_idx,exit_price,reason
14,732.64,15,731.67,trailingTP
35,721.01,36,722.675,trailingTP
69,704.07,70,714.66,trailingTP
85,708.7,86,713.6,trailingTP
105,721.81,106,718.425,trailingTP
126,755.64,127,777.79,trailingTP
141,763.845,142,765.41,trailingTP
158,771.97,159,770.51,trailingTP
174,768.52,175,769.43,trailingTP
183,779.99,184,785.74,trailingTP
199,787.19,200,786.65,trailingTP
229,744.805,230,744.76,trailingTP
240,753.26,241,752.25,trailingTP
269,750.005,270,750.84,trailingTP
287,735.41,288,736.99,trailingTP
322,765.8,323,755.31,sellSignal
340,755.53,341,754.93,trailingTP
378,778.5,379,780.39,trailingTP
399,760.81,400,746.65,sellSignal
414,748.92,415,747.84,trailingTP
436,723.48,437,720.62,trailingTP
454,713.03,455,715.18,trailingTP
464,713.53,465,715.96,trailingTP
485,717.135,486,708.88,trailingTP
494,714.605,495,714.46,trailingTP
517,714.595,518,716.15,trailingTP
540,733.33,541,740.0,trailingTP
552,737.49,553,738.495,trailingTP
610,635.44,611,638.91,trailingTP
628,613.07,629,619.17,trailingTP
665,604.4,666,610.23,trailingTP
685,597.675,686,597.455,trailingTP
697,592.81,698,602.27,trailingTP
709,594.57,710,594.78,trailingTP
