entry_idx,entry_price,exit_idx,exit_price,reason
8,105.41,9,104.95,trailingTP
19,105.37,20,105.82,trailingTP
33,106.8,34,106.38,trailingTP
42,106.285,43,105.325,sellSignal
55,102.02,56,102.88,trailingTP
70,105.19,71,104.85,trailingTP
82,102.37,83,102.375,trailingTP
92,99.9,93,100.11,trailingTP
105,101.335,106,102.15,trailingTP
117,102.42,118,101.625,trailingTP
141,93.7,142,94.12,trailingTP
161,100.29,162,95.82,trailingTP
183,101.72,184,102.06,trailingTP
197,102.91,198,103.55,trailingTP
212,101.75,213,101.54,trailingTP
230,99.28,231,99.2,trailingTP
268,106.205,269,106.63,trailingTP
285,100.705,286,101.94,trailingTP
293,100.28,294,99.11,trailingTP
308,104.68,309,106.62,trailingTP
322,109.35,323,109.93,trailingTP
377,128.65,378,130.27,trailingTP
400,122.5,401,123.59,trailingTP
410,121.96,411,121.845,trailingTP
426,123.75,427,122.81,trailingTP
438,136.41,439,136.71,trailingTP
448,139.645,449,139.34,trailingTP
464,133.13,465,133.125,trailingTP
474,133.67,475,134.31,trailingTP
483,128.55,484,130.44,trailingTP
492,134.16,493,134.35,trailingTP
518,140.81,519,142.1,trailingTP
538,134.355,539,138.715,trailingTP
568,144.08,569,143.65,trailingTP
583,142.43,584,143.73,trailingTP
587,143.575,588,143.66,trailingTP
603,141.17,604,141.68,trailingTP
610,154.2,611,150.5,trailingTP
621,150.44,622,154.08,trailingTP
654,145.0,655,145.71,trailingTP
668,141.9,669,143.35,trailingTP
679,147.57,680,146.51,trailingTP
688,142.015,689,141.62,trailingTP
707,151.75,708,152.78,trailingTP
