entry_idx,entry_price,exit_idx,exit_price,reason
6,82.18,7,82.355,trailingTP
20,84.83,21,85.385,trailingTP
54,85.07,55,84.91,trailingTP
61,85.475,62,85.89,trailingTP
71,84.75,72,84.49,trailingTP
78,84.47,79,83.785,sellSignal
80,84.38,81,85.0,trailingTP
112,88.705,113,88.025,sellSignal
140,84.155,141,85.28,trailingTP
147,86.31,148,85.12,trailingTP
168,88.44,169,89.11,trailingTP
179,90.02,180,90.155,trailingTP
203,92.805,204,91.7,sellSignal
215,92.035,216,92.67,trailingTP
237,91.5,266,96.045,sellSignal
271,96.525,272,96.245,trailingTP
278,95.89,279,94.94,trailingTP
293,95.46,294,95.85,trailingTP
305,96.81,306,97.55,trailingTP
321,96.215,322,96.6,trailingTP
354,98.66,355,98.83,trailingTP
366,99.83,367,100.1,trailingTP
376,99.67,377,99.975,trailingTP
400,100.32,401,99.82,trailingTP
419,101.28,420,101.12,trailingTP
425,101.13,426,100.04,sellSignal
438,100.41,439,100.52,trailingTP
461,99.32,462,99.26,trailingTP
475,98.83,476,98.95,trailingTP
482,98.43,483,98.82,trailingTP
490,98.95,491,99.21,trailingTP
516,98.63,517,99.33,trailingTP
558,103.68,559,102.89,trailingTP
573,106.05,574,107.34,trailingTP
588,107.02,589,107.04,trailingTP
595,107.39,596,107.35,trailingTP
602,107.38,603,108.61,trailingTP
616,106.78,617,106.82,trailingTP
630,108.71,631,108.615,trailingTP
653,108.16,654,107.72,trailingTP
666,105.71,667,105.72,trailingTP
678,108.78,679,108.19,sellSignal
687,107.4,688,107.2,trailingTP
