entry_idx,entry_price,exit_idx,exit_price,reason
10,13.99,11,14.0,trailingTP
27,14.66,28,14.52,trailingTP
32,14.585,33,14.91,trailingTP
49,14.68,50,14.4,trailingTP
64,14.505,65,14.22,sellSignal
92,13.475,93,13.695,trailingTP
114,13.77,115,13.85,trailingTP
148,13.445,149,13.49,trailingTP
156,13.56,157,13.61,trailingTP
174,13.375,175,13.185,trailingTP
186,13.52,187,13.01,trailingTP
224,14.78,225,15.17,trailingTP
236,14.815,237,15.32,trailingTP
256,15.12,257,15.28,trailingTP
264,15.38,265,15.35,trailingTP
276,15.42,277,15.5,trailingTP
286,30.215,287,29.525,trailingTP
327,38.57,328,38.05,trailingTP
347,36.02,348,36.22,trailingTP
365,39.5,366,39.97,trailingTP
376,39.27,377,38.63,trailingTP
395,38.62,396,38.83,trailingTP
400,38.67,401,38.635,trailingTP
426,40.01,427,40.005,trailingTP
459,36.56,460,37.615,trailingTP
469,38.425,470,38.96,trailingTP
494,43.0,495,42.845,trailingTP
510,43.51,511,43.505,trailingTP
516,43.565,517,43.32,trailingTP
534,42.12,535,41.65,trailingTP
552,41.08,553,40.19,trailingTP
573,41.79,574,42.345,trailingTP
585,41.55,586,40.825,trailingTP
589,39.99,590,39.945,trailingTP
596,40.265,597,39.9,trailingTP
620,38.49,621,38.045,trailingTP
642,47.285,643,46.25,trailingTP
657,43.325,658,44.53,trailingTP
679,44.475,680,43.01,trailingTP
688,42.82,689,42.66,trailingTP
707,43.16,708,43.635,trailingTP
