entry_idx,entry_price,exit_idx,exit_price,reason
9,31.35,10,32.28,trailingTP
21,43.95,22,46.435,trailingTP
37,47.44,38,46.9,trailingTP
62,58.5,63,58.88,trailingTP
89,59.745,90,60.1,trailingTP
106,62.37,107,62.75,trailingTP
143,62.845,144,63.915,trailingTP
170,70.48,171,70.49,trailingTP
245,67.685,246,68.33,trailingTP
272,71.735,273,71.44,trailingTP
297,68.045,298,67.46,trailingTP
327,63.45,328,63.58,trailingTP
339,64.03,340,63.78,trailingTP
353,66.31,354,65.97,trailingTP
394,72.855,395,73.26,trailingTP
411,79.735,412,80.315,trailingTP
445,69.31,446,68.545,trailingTP
459,74.48,460,72.87,trailingTP
480,75.35,481,77.83,trailingTP
487,74.585,488,77.14,trailingTP
495,94.415,496,97.75,trailingTP
536,83.61,537,82.89,trailingTP
559,71.17,560,70.74,trailingTP
570,66.25,571,65.69,trailingTP
590,65.59,591,65.28,trailingTP
629,54.97,630,54.79,trailingTP
667,59.64,668,59.29,trailingTP
682,58.505,683,59.785,trailingTP
710,57.45,711,58.26,trailingTP
725,59.19,726,60.29,trailingTP
