entry_idx,entry_price,exit_idx,exit_price,reason
8,81.91,9,82.13,trailingTP
35,83.515,36,83.7,trailingTP
49,82.33,50,82.51,trailingTP
77,81.52,78,80.805,trailingTP
117,82.16,118,82.7,trailingTP
143,79.56,144,79.475,trailingTP
164,80.39,165,80.29,trailingTP
182,80.505,183,80.24,trailingTP
203,84.2,204,83.745,trailingTP
231,85.94,232,86.87,trailingTP
238,87.46,239,87.09,trailingTP
273,84.085,274,83.74,trailingTP
300,84.03,301,84.85,trailingTP
315,84.54,316,84.33,trailingTP
329,84.615,330,85.22,trailingTP
357,81.48,358,82.12,trailingTP
371,82.0,372,82.02,trailingTP
379,81.71,380,81.325,trailingTP
406,78.58,407,77.91,trailingTP
442,90.48,443,90.05,trailingTP
469,87.45,470,87.38,trailingTP
504,85.38,505,84.87,trailingTP
516,84.65,517,84.775,trailingTP
548,87.86,549,87.67,trailingTP
577,86.735,578,85.83,trailingTP
587,86.15,588,86.0,trailingTP
596,83.715,597,84.34,trailingTP
610,85.75,611,85.73,trailingTP
631,88.57,632,89.74,trailingTP
666,96.07,667,96.33,trailingTP
687,96.64,688,97.415,trailingTP
701,103.555,702,103.945,trailingTP
